Name,Date,Open,High,Low,Close,Volume
QMULTIFIZ,20160712,1000.00,1000.00,1000.00,1000.00,28
QMULTIFIZ,20160713,1018.00,1018.00,1018.00,1018.00,3
QMULTIFIZ,20160714,1015.00,1015.00,1015.00,1015.00,5
QMULTIFIZ,20160715,1015.00,1015.00,1015.00,1015.00,2
QMULTIFIZ,20160720,1008.00,1008.00,1008.00,1008.00,8
QMULTIFIZ,20161017,1060.00,1060.00,1050.00,1050.00,200
QMULTIFIZ,20161027,1055.01,1055.01,1050.01,1050.01,29
QMULTIFIZ,20161103,1096.00,1096.00,1096.00,1096.00,1
QMULTIFIZ,20161209,1100.00,1100.00,1100.00,1100.00,10
QMULTIFIZ,20161212,1065.00,1065.00,1065.00,1065.00,18
QMULTIFIZ,20161215,1055.00,1055.00,1055.00,1055.00,9
QMULTIFIZ,20161220,1020.00,1064.90,1020.00,1064.90,562
QMULTIFIZ,20161229,1060.00,1060.00,1060.00,1060.00,9
QMULTIFIZ,20170103,1100.00,1100.00,1100.00,1100.00,1
QMULTIFIZ,20170105,1090.00,1090.00,1090.00,1090.00,1
QMULTIFIZ,20170109,1092.00,1092.00,1091.99,1091.99,2
QMULTIFIZ,20170113,1090.00,1090.00,1090.00,1090.00,9
QMULTIFIZ,20170120,1090.00,1090.00,1090.00,1090.00,1
QMULTIFIZ,20170130,1090.00,1090.00,1090.00,1090.00,4
QMULTIFIZ,20170203,1092.00,1092.00,1055.00,1055.00,54
QMULTIFIZ,20170210,1080.99,1080.99,1077.00,1077.00,160
QMULTIFIZ,20170222,1082.00,1082.00,1072.05,1082.00,12
QMULTIFIZ,20170228,1082.00,1082.00,1080.00,1080.00,8
QMULTIFIZ,20170301,1078.00,1078.00,1078.00,1078.00,1
QMULTIFIZ,20170302,1072.05,1072.05,1065.10,1065.10,91
QMULTIFIZ,20170303,1065.10,1065.10,1065.10,1065.10,3
QMULTIFIZ,20170306,1080.00,1080.00,1080.00,1080.00,18
QMULTIFIZ,20170314,1075.00,1075.00,1075.00,1075.00,25
QMULTIFIZ,20170317,1080.00,1080.00,1065.11,1065.11,21
QMULTIFIZ,20170327,1065.01,1065.01,1065.01,1065.01,20
QMULTIFIZ,20170329,1065.01,1065.01,1065.01,1065.01,33
QMULTIFIZ,20170406,1065.01,1065.01,1065.01,1065.01,19
QMULTIFIZ,20170410,1068.00,1068.00,1065.01,1067.90,64
QMULTIFIZ,20170412,1065.05,1065.05,1061.50,1062.00,99
QMULTIFIZ,20170418,1062.00,1062.00,1062.00,1062.00,193
QMULTIFIZ,20170420,1064.90,1068.00,1064.90,1068.00,280
QMULTIFIZ,20170424,1061.10,1061.10,1061.10,1061.10,49
QMULTIFIZ,20170427,1068.00,1068.00,1068.00,1068.00,70
QMULTIFIZ,20170502,1061.10,1061.10,1061.10,1061.10,18
QMULTIFIZ,20170508,1061.15,1061.15,1061.10,1061.10,10
QMULTIFIZ,20170511,1070.00,1070.00,1065.00,1065.00,7
QMULTIFIZ,20170512,1069.00,1069.00,1065.00,1065.00,19
QMULTIFIZ,20170517,1077.90,1078.80,1077.90,1078.80,52
QMULTIFIZ,20170522,1075.00,1075.00,1075.00,1075.00,10
QMULTIFIZ,20170602,1090.00,1094.90,1077.00,1077.00,16
QMULTIFIZ,20170605,1066.20,1066.20,1066.20,1066.20,7
QMULTIFIZ,20170607,1100.00,1100.00,1066.10,1066.10,27
QMULTIFIZ,20170608,1066.10,1066.10,1065.00,1065.00,31
QMULTIFIZ,20170613,1065.00,1065.00,1065.00,1065.00,7
QMULTIFIZ,20170620,1065.01,1065.01,1065.01,1065.01,4
QMULTIFIZ,20170626,1062.01,1062.01,1062.01,1062.01,3
QMULTIFIZ,20170627,1062.01,1062.01,1062.01,1062.01,3
QMULTIFIZ,20170628,1079.90,1080.00,1079.90,1080.00,27
QMULTIFIZ,20170704,1075.00,1075.00,1075.00,1075.00,53
QMULTIFIZ,20170706,1075.00,1075.00,1075.00,1075.00,236
QMULTIFIZ,20170707,1075.00,1075.00,1075.00,1075.00,11
QMULTIFIZ,20170711,1094.90,1094.90,1094.90,1094.90,1
QMULTIFIZ,20170712,1075.00,1075.00,1075.00,1075.00,2
QMULTIFIZ,20170718,1096.00,1096.00,1096.00,1096.00,5
