Name,Date,Open,High,Low,Close,Volume
RCBW3010817,20140901,990.14,990.14,990.14,990.14,1
RCBW3010817,20140924,1040.00,1040.00,1040.00,1040.00,2
RCBW3010817,20141006,1005.59,1005.59,1005.59,1005.59,5
RCBW3010817,20141021,1001.33,1001.33,1001.33,1001.33,2
RCBW3010817,20141030,1000.73,1000.73,1000.73,1000.73,1
RCBW3010817,20141202,997.91,997.91,997.91,997.91,7
RCBW3010817,20150115,963.10,963.10,963.10,963.10,5
RCBW3010817,20150129,961.00,961.00,961.00,961.00,1
RCBW3010817,20150205,961.00,961.00,961.00,961.00,2
RCBW3010817,20150320,980.28,980.28,980.28,980.28,81
RCBW3010817,20150409,990.02,990.02,990.02,990.02,3
RCBW3010817,20150414,993.79,993.79,993.79,993.79,8
RCBW3010817,20150427,1036.80,1036.80,1036.80,1036.80,60
RCBW3010817,20150430,1030.28,1030.28,1030.28,1030.28,200
RCBW3010817,20150504,1029.08,1029.08,1029.08,1029.08,6
RCBW3010817,20150506,1030.77,1030.77,1030.77,1030.77,1
RCBW3010817,20150608,994.70,994.70,994.70,994.70,22
RCBW3010817,20150611,999.41,999.41,999.41,999.41,11
RCBW3010817,20150629,992.43,992.43,992.43,992.43,5
RCBW3010817,20150827,918.89,918.89,918.89,918.89,1
RCBW3010817,20150903,933.48,933.48,933.48,933.48,1
RCBW3010817,20150910,970.73,970.73,970.73,970.73,1
RCBW3010817,20151130,937.22,937.22,937.22,937.22,2
RCBW3010817,20151210,866.60,866.60,866.60,866.60,1
RCBW3010817,20160210,849.24,849.24,849.24,849.24,61
RCBW3010817,20160216,838.32,838.32,838.32,838.32,92
RCBW3010817,20160330,955.20,955.20,955.20,955.20,11
RCBW3010817,20160401,954.54,954.54,954.54,954.54,2
RCBW3010817,20160412,938.59,938.59,938.59,938.59,1
RCBW3010817,20160601,911.22,911.22,911.22,911.22,1
RCBW3010817,20160711,877.20,877.20,877.20,877.20,2
RCBW3010817,20160718,920.20,920.20,920.20,920.20,1
RCBW3010817,20160805,947.20,947.20,947.20,947.20,1
RCBW3010817,20161020,1000.10,1000.10,1000.10,1000.10,1
RCBW3010817,20161024,1009.90,1009.90,1009.90,1009.90,2
RCBW3010817,20161025,1014.20,1014.20,1014.20,1014.20,49
RCBW3010817,20161027,1010.30,1010.30,1010.30,1010.30,50
RCBW3010817,20161028,1020.20,1020.20,1020.20,1020.20,5
RCBW3010817,20161031,1022.20,1022.20,1022.20,1022.20,8
RCBW3010817,20161104,1013.90,1013.90,1013.90,1013.90,1
RCBW3010817,20161109,1027.40,1027.40,1024.90,1024.90,31
RCBW3010817,20161110,1038.60,1038.60,1038.60,1038.60,5
RCBW3010817,20161206,1053.10,1053.10,1053.10,1053.10,3
RCBW3010817,20170202,1053.30,1053.30,1053.30,1053.30,20
RCBW3010817,20170208,1052.20,1052.20,1052.20,1052.20,10
RCBW3010817,20170216,1059.10,1059.10,1059.10,1059.10,3
RCBW3010817,20170221,1065.70,1065.70,1065.70,1065.70,61
RCBW3010817,20170425,1070.20,1070.20,1070.20,1070.20,5
