Name,Date,Open,High,Low,Close,Volume
RCBWTI10917,20141217,628.74,628.74,628.74,628.74,50
RCBWTI10917,20141218,669.38,669.38,669.38,669.38,80
RCBWTI10917,20150107,635.66,635.66,635.66,635.66,50
RCBWTI10917,20150121,610.63,610.63,610.63,610.63,50
RCBWTI10917,20150325,609.77,609.77,609.77,609.77,5
RCBWTI10917,20150326,608.81,608.81,608.81,608.81,5
RCBWTI10917,20150330,600.89,600.89,600.89,600.89,5
RCBWTI10917,20150512,630.00,630.00,630.00,630.00,100
RCBWTI10917,20150515,637.30,637.30,637.30,637.30,10
RCBWTI10917,20150707,588.87,588.87,588.87,588.87,5
RCBWTI10917,20150825,491.88,491.88,491.88,491.88,10
RCBWTI10917,20151002,491.00,491.00,491.00,491.00,4
RCBWTI10917,20151119,475.74,475.74,475.74,475.74,60
RCBWTI10917,20151120,490.75,490.75,490.75,490.75,5
RCBWTI10917,20151123,481.20,481.20,481.20,481.20,13
RCBWTI10917,20151208,479.88,479.88,479.88,479.88,5
RCBWTI10917,20151210,475.74,475.74,475.74,475.74,4
RCBWTI10917,20151214,464.64,464.64,464.64,464.64,4
RCBWTI10917,20151216,460.78,460.78,460.78,460.78,6
RCBWTI10917,20151222,453.92,453.92,453.92,453.92,2
RCBWTI10917,20160113,407.68,407.68,407.68,407.68,5
RCBWTI10917,20160118,382.27,382.27,382.27,382.27,5
RCBWTI10917,20160301,422.46,422.46,422.46,422.46,87
RCBWTI10917,20160309,441.34,441.34,441.34,441.34,50
RCBWTI10917,20160606,520.10,520.10,520.10,520.10,40
RCBWTI10917,20161117,508.90,508.90,508.90,508.90,200
RCBWTI10917,20161221,573.00,573.00,573.00,573.00,50
RCBWTI10917,20170322,500.20,500.20,500.20,500.20,50
RCBWTI10917,20170608,493.10,493.10,493.10,493.10,10
RCBWTI10917,20170620,467.00,467.00,467.00,467.00,10
RCBWTI10917,20170629,463.50,463.50,463.50,463.50,200
RCBWTI10917,20170705,476.60,476.60,467.60,467.60,250
RCBWTI10917,20170706,469.90,469.90,469.90,469.90,120
RCBWTI10917,20170711,455.00,455.00,453.90,453.90,200
