Name,Date,Open,High,Low,Close,Volume
RCEPZU10917,20150727,883.80,883.80,883.80,883.80,150
RCEPZU10917,20151214,702.50,702.50,702.50,702.50,53
RCEPZU10917,20160513,818.70,818.70,818.70,818.70,250
RCEPZU10917,20160705,568.40,568.40,568.40,568.40,200
RCEPZU10917,20161208,786.50,786.50,786.50,786.50,50
RCEPZU10917,20170412,1010.70,1010.70,1010.70,1010.70,100
RCEPZU10917,20170420,1057.90,1057.90,1057.90,1057.90,50
RCEPZU10917,20170425,1074.40,1076.30,1074.40,1076.30,200
RCEPZU10917,20170427,1117.70,1117.70,1117.70,1117.70,100
RCEPZU10917,20170509,1138.50,1140.00,1138.50,1140.00,600
RCEPZU10917,20170511,1131.10,1131.10,1131.10,1131.10,50
RCEPZU10917,20170515,1132.80,1136.30,1130.60,1136.30,350
RCEPZU10917,20170516,1138.50,1138.50,1138.50,1138.50,50
RCEPZU10917,20170519,1138.40,1138.40,1138.40,1138.40,100
RCEPZU10917,20170522,1147.80,1147.80,1147.80,1147.80,100
RCEPZU10917,20170524,1148.40,1148.40,1147.80,1147.80,350
RCEPZU10917,20170526,1148.00,1148.00,1148.00,1148.00,186
RCEPZU10917,20170530,1143.40,1143.40,1143.40,1143.40,300
RCEPZU10917,20170705,1155.00,1155.00,1155.00,1155.00,200
RCEPZU10917,20170720,1162.90,1162.90,1162.90,1162.90,150
