Name,Date,Open,High,Low,Close,Volume
RCESXE290920,20151204,995.23,995.23,995.23,995.23,3
RCESXE290920,20160210,883.13,883.13,883.13,883.13,20
RCESXE290920,20170105,1024.50,1024.50,1024.50,1024.50,50
RCESXE290920,20170203,1025.20,1025.20,1025.20,1025.20,100
RCESXE290920,20170207,1020.30,1020.30,1019.70,1019.70,174
RCESXE290920,20170209,1021.80,1021.80,1021.80,1021.80,55
RCESXE290920,20170221,1033.90,1033.90,1033.90,1033.90,169
RCESXE290920,20170223,1036.10,1036.10,1036.10,1036.10,100
RCESXE290920,20170307,1037.20,1037.20,1037.20,1037.20,216
RCESXE290920,20170313,1043.90,1043.90,1043.90,1043.90,200
RCESXE290920,20170323,1051.10,1051.10,1051.10,1051.10,240
RCESXE290920,20170329,1055.80,1055.80,1055.80,1055.80,100
RCESXE290920,20170404,1065.90,1065.90,1065.90,1065.90,100
RCESXE290920,20170412,1061.60,1061.60,1061.60,1061.60,10
RCESXE290920,20170421,1060.20,1060.20,1060.20,1060.20,50
RCESXE290920,20170425,1080.90,1080.90,1080.90,1080.90,50
RCESXE290920,20170428,1081.60,1081.60,1081.60,1081.60,224
RCESXE290920,20170522,1087.80,1087.80,1087.80,1087.80,50
RCESXE290920,20170524,1091.20,1091.20,1091.20,1091.20,50
RCESXE290920,20170529,1091.40,1091.40,1091.40,1091.40,50
RCESXE290920,20170602,1094.80,1094.80,1094.80,1094.80,100
RCESXE290920,20170606,1092.00,1092.00,1092.00,1092.00,200
RCESXE290920,20170607,1093.00,1093.00,1091.60,1091.60,200
RCESXE290920,20170703,1098.20,1098.20,1098.20,1098.20,100
RCESXE290920,20170720,1105.00,1105.00,1105.00,1105.00,50
