Name,Date,Open,High,Low,Close,Volume
RCFL2DTE,20141118,135.70,135.70,135.70,135.70,12
RCFL2DTE,20141120,140.01,140.01,140.01,140.01,12
RCFL2DTE,20150408,234.03,234.03,234.03,234.03,12
RCFL2DTE,20150429,223.92,223.92,223.92,223.92,12
RCFL2DTE,20150811,239.55,239.55,239.55,239.55,4
RCFL2DTE,20150812,227.33,227.33,227.33,227.33,4
RCFL2DTE,20150921,204.90,204.90,204.90,204.90,5
RCFL2DTE,20150925,206.18,206.18,206.18,206.18,5
RCFL2DTE,20151022,215.54,215.54,215.54,215.54,4
RCFL2DTE,20151028,230.69,230.69,230.69,230.69,4
RCFL2DTE,20161219,207.60,207.60,207.60,207.60,3
RCFL2DTE,20170110,208.20,208.20,208.20,208.20,3
