Name,Date,Open,High,Low,Close,Volume
RCFL2RDX2,20161109,10.86,10.89,10.86,10.89,4000
RCFL2RDX2,20161110,11.50,11.68,11.50,11.68,3000
RCFL2RDX2,20161114,10.82,10.82,10.42,10.42,5000
RCFL2RDX2,20161115,11.20,11.37,11.20,11.37,3000
RCFL2RDX2,20161118,11.70,11.70,11.70,11.70,1000
RCFL2RDX2,20161121,12.16,12.24,12.16,12.24,2000
RCFL2RDX2,20161122,12.46,12.46,12.46,12.46,1000
RCFL2RDX2,20161123,12.22,12.22,12.15,12.18,6000
RCFL2RDX2,20161129,11.84,11.84,11.77,11.77,3000
RCFL2RDX2,20161201,12.87,12.91,12.87,12.91,5000
RCFL2RDX2,20161202,13.08,13.08,13.08,13.08,1000
RCFL2RDX2,20161205,13.64,13.64,13.63,13.63,2000
RCFL2RDX2,20161215,15.10,15.10,15.04,15.04,5000
RCFL2RDX2,20161222,14.77,14.91,14.77,14.91,2000
RCFL2RDX2,20161229,15.52,15.52,15.52,15.52,1000
