Name,Date,Open,High,Low,Close,Volume
RCFL3ALR,20161025,110.00,110.00,110.00,110.00,20
RCFL3ALR,20161114,83.60,83.60,83.60,83.60,240
RCFL3ALR,20161118,74.00,74.00,68.35,70.65,105
RCFL3ALR,20161121,71.00,71.00,71.00,71.00,35
RCFL3ALR,20161122,71.65,71.65,71.65,71.65,20
RCFL3ALR,20161124,78.10,78.10,78.00,78.00,55
RCFL3ALR,20161125,81.05,81.05,78.15,78.15,300
RCFL3ALR,20161205,81.70,85.25,81.70,85.25,560
RCFL3ALR,20161206,93.80,93.80,91.05,92.25,645
RCFL3ALR,20161208,124.50,124.90,124.50,124.90,80
RCFL3ALR,20161220,122.20,122.20,122.20,122.20,8
RCFL3ALR,20161228,140.30,140.30,140.30,140.30,30
RCFL3ALR,20161230,141.40,141.40,141.40,141.40,30
RCFL3ALR,20170112,183.60,183.60,183.60,183.60,8
RCFL3ALR,20170120,192.60,192.60,192.60,192.60,35
RCFL3ALR,20170126,202.70,202.70,202.70,202.70,35
RCFL3ALR,20170127,205.00,205.00,200.00,200.00,94
RCFL3ALR,20170130,196.80,198.40,195.00,195.00,104
RCFL3ALR,20170131,186.10,186.10,186.10,186.10,20
RCFL3ALR,20170209,227.00,227.00,227.00,227.00,8
RCFL3ALR,20170210,256.40,256.40,234.10,234.10,123
RCFL3ALR,20170216,228.20,228.20,228.20,228.20,100
RCFL3ALR,20170217,223.90,223.90,223.90,223.90,4
RCFL3ALR,20170220,229.60,229.60,229.60,229.60,50
RCFL3ALR,20170221,237.70,237.70,236.60,236.60,130
RCFL3ALR,20170222,237.60,237.60,237.60,237.60,3
RCFL3ALR,20170224,238.90,238.90,238.90,238.90,180
RCFL3ALR,20170227,238.10,238.10,238.10,238.10,4
RCFL3ALR,20170302,270.70,270.70,256.80,256.80,210
RCFL3ALR,20170303,254.70,254.70,241.60,241.60,204
RCFL3ALR,20170307,218.10,223.80,212.00,212.00,170
RCFL3ALR,20170310,245.50,267.50,245.50,267.50,164
RCFL3ALR,20170316,335.50,335.50,335.50,335.50,20
RCFL3ALR,20170322,319.60,319.60,319.00,319.00,17
RCFL3ALR,20170327,311.40,311.40,311.40,311.40,20
RCFL3ALR,20170407,302.70,302.70,302.70,302.70,10
RCFL3ALR,20170410,293.20,293.20,292.30,292.30,27
RCFL3ALR,20170411,285.90,285.90,277.50,277.50,20
RCFL3ALR,20170412,270.50,270.50,264.20,264.20,30
RCFL3ALR,20170504,301.00,301.00,301.00,301.00,70
RCFL3ALR,20170508,316.60,316.60,316.60,316.60,3
RCFL3ALR,20170516,298.00,298.00,298.00,298.00,30
RCFL3ALR,20170518,254.60,255.30,254.60,255.30,41
RCFL3ALR,20170522,273.70,278.80,273.70,278.80,78
RCFL3ALR,20170524,254.30,254.30,254.30,254.30,10
RCFL3ALR,20170525,264.80,266.20,264.80,266.20,59
RCFL3ALR,20170526,253.30,253.30,253.30,253.30,9
RCFL3ALR,20170602,193.80,194.70,188.00,194.70,190
RCFL3ALR,20170605,224.20,225.50,220.10,220.10,50
RCFL3ALR,20170606,232.00,232.00,232.00,232.00,5
RCFL3ALR,20170607,244.70,244.70,244.70,244.70,5
RCFL3ALR,20170612,214.90,214.90,192.70,192.70,48
RCFL3ALR,20170616,186.70,187.10,186.70,187.10,40
RCFL3ALR,20170619,164.00,164.00,157.00,163.00,30
RCFL3ALR,20170620,154.00,154.00,147.20,147.20,268
RCFL3ALR,20170621,150.60,163.00,150.60,163.00,30
RCFL3ALR,20170622,155.90,155.90,154.50,154.50,48
RCFL3ALR,20170623,162.30,162.30,162.30,162.30,20
RCFL3ALR,20170707,172.40,172.40,172.40,172.40,9
RCFL3ALR,20170710,178.50,178.50,178.50,178.50,60
RCFL3ALR,20170713,177.70,177.70,177.70,177.70,100
