Name,Date,Open,High,Low,Close,Volume
RCFL3COCO,20170301,7.75,7.75,7.47,7.47,1126
RCFL3COCO,20170313,8.36,8.83,8.36,8.83,3250
RCFL3COCO,20170314,9.08,9.34,9.08,9.33,9337
RCFL3COCO,20170315,9.52,9.63,9.52,9.63,129
RCFL3COCO,20170316,9.13,9.13,9.13,9.13,9
RCFL3COCO,20170317,9.00,9.00,8.57,8.57,700
RCFL3COCO,20170320,9.53,9.53,9.53,9.53,5
RCFL3COCO,20170321,9.98,10.90,9.98,10.67,16249
RCFL3COCO,20170322,10.55,10.55,10.01,10.45,9179
RCFL3COCO,20170323,10.35,10.73,10.35,10.73,110
RCFL3COCO,20170324,10.96,10.96,10.11,10.11,209
RCFL3COCO,20170327,10.09,10.42,10.09,10.42,2305
RCFL3COCO,20170328,10.05,10.05,10.00,10.00,70
RCFL3COCO,20170329,10.18,10.19,9.55,9.76,665
RCFL3COCO,20170330,9.45,9.75,9.21,9.74,7635
RCFL3COCO,20170331,9.68,9.68,9.46,9.60,4510
RCFL3COCO,20170403,9.40,9.56,9.24,9.56,5340
RCFL3COCO,20170404,9.60,9.60,9.60,9.60,60
RCFL3COCO,20170405,9.89,9.89,9.89,9.89,10
RCFL3COCO,20170407,9.17,9.17,8.42,8.42,675
RCFL3COCO,20170410,8.20,8.22,7.85,7.99,5530
RCFL3COCO,20170411,7.70,8.10,7.70,8.10,6150
RCFL3COCO,20170412,8.25,8.25,7.85,7.92,880
RCFL3COCO,20170413,7.66,7.66,7.50,7.50,2750
RCFL3COCO,20170418,7.46,7.62,7.15,7.17,7264
RCFL3COCO,20170419,7.28,7.28,6.95,6.95,1550
RCFL3COCO,20170420,6.81,6.81,5.76,5.91,12401
RCFL3COCO,20170421,6.31,6.49,6.19,6.19,4460
RCFL3COCO,20170424,6.46,6.46,6.21,6.21,150
RCFL3COCO,20170426,6.62,6.63,6.36,6.36,2380
RCFL3COCO,20170427,6.49,6.49,6.49,6.49,300
RCFL3COCO,20170428,6.54,6.54,6.00,6.00,86
RCFL3COCO,20170502,6.15,6.15,6.15,6.15,200
RCFL3COCO,20170504,5.61,5.88,5.50,5.88,9176
RCFL3COCO,20170505,6.12,6.40,5.88,6.30,2178
RCFL3COCO,20170508,6.54,7.29,6.39,7.04,794
RCFL3COCO,20170509,7.36,7.48,6.95,7.48,1967
RCFL3COCO,20170510,7.18,7.41,7.16,7.20,1885
RCFL3COCO,20170512,7.80,7.96,7.66,7.96,6198
RCFL3COCO,20170515,8.31,8.36,8.08,8.36,220
RCFL3COCO,20170516,7.72,7.97,7.61,7.97,5275
RCFL3COCO,20170517,8.07,8.15,8.03,8.10,3248
RCFL3COCO,20170518,8.45,8.51,8.15,8.51,4289
RCFL3COCO,20170519,8.35,8.35,8.23,8.23,170
RCFL3COCO,20170522,7.75,7.99,7.75,7.79,228
RCFL3COCO,20170523,7.97,7.97,7.74,7.74,130
RCFL3COCO,20170524,7.10,7.10,6.33,6.54,19280
RCFL3COCO,20170525,6.29,6.47,6.29,6.34,150
RCFL3COCO,20170526,6.23,6.47,6.23,6.47,5060
RCFL3COCO,20170530,6.63,7.38,6.63,7.32,5805
RCFL3COCO,20170531,7.69,7.75,7.65,7.65,1172
RCFL3COCO,20170601,7.46,7.55,7.09,7.25,250
RCFL3COCO,20170602,7.44,7.44,7.17,7.17,1095
RCFL3COCO,20170605,7.23,7.23,6.68,6.68,3798
RCFL3COCO,20170606,7.03,7.12,7.03,7.12,350
RCFL3COCO,20170607,7.20,7.20,6.82,6.82,400
RCFL3COCO,20170608,7.48,7.48,7.48,7.48,1119
RCFL3COCO,20170609,6.83,7.13,6.81,7.13,924
RCFL3COCO,20170612,7.54,8.02,7.54,8.02,2635
RCFL3COCO,20170613,8.22,8.22,8.05,8.16,12710
RCFL3COCO,20170614,7.61,7.65,7.43,7.43,14130
RCFL3COCO,20170616,8.13,8.13,7.49,7.49,310
RCFL3COCO,20170619,7.46,7.46,6.44,6.44,14406
RCFL3COCO,20170620,6.59,6.59,6.19,6.23,4217
RCFL3COCO,20170621,6.20,6.25,5.96,5.96,5385
RCFL3COCO,20170622,5.61,5.82,5.14,5.14,3996
RCFL3COCO,20170623,5.59,5.72,5.59,5.72,2050
RCFL3COCO,20170626,5.68,5.68,5.68,5.68,120
RCFL3COCO,20170627,5.65,5.65,5.60,5.60,110
RCFL3COCO,20170628,5.79,5.79,5.79,5.79,10
RCFL3COCO,20170630,5.65,6.34,5.50,6.34,3938
RCFL3COCO,20170703,6.46,6.46,6.39,6.45,15570
RCFL3COCO,20170705,6.03,6.20,6.03,6.20,725
RCFL3COCO,20170706,6.30,6.30,5.74,5.74,173
RCFL3COCO,20170707,5.73,5.73,5.73,5.73,175
RCFL3COCO,20170710,5.61,5.82,5.61,5.82,260
RCFL3COCO,20170711,5.35,5.35,4.98,5.01,6131
RCFL3COCO,20170712,5.02,5.12,5.02,5.12,10300
RCFL3COCO,20170713,5.31,5.45,5.31,5.45,1700
RCFL3COCO,20170714,5.70,5.92,5.70,5.92,20
RCFL3COCO,20170717,6.07,6.07,5.60,5.60,1534
RCFL3COCO,20170718,5.98,6.08,5.72,5.72,14432
RCFL3COCO,20170719,5.70,6.06,5.70,6.06,5384
RCFL3COCO,20170720,6.31,6.31,6.09,6.09,38
