Name,Date,Open,High,Low,Close,Volume
RCFL3COFF,20170307,8.10,8.10,8.10,8.10,500
RCFL3COFF,20170309,8.19,8.19,8.19,8.19,12
RCFL3COFF,20170313,8.24,8.24,8.24,8.24,365
RCFL3COFF,20170314,8.34,8.34,8.29,8.29,1200
RCFL3COFF,20170316,8.07,8.07,8.05,8.05,1000
RCFL3COFF,20170321,8.61,8.61,8.61,8.61,2000
RCFL3COFF,20170323,7.96,7.96,7.96,7.96,600
RCFL3COFF,20170324,7.51,7.51,7.51,7.51,200
RCFL3COFF,20170327,6.98,6.98,6.98,6.98,12
RCFL3COFF,20170331,7.40,7.40,7.40,7.40,400
RCFL3COFF,20170403,7.61,7.61,7.61,7.61,400
RCFL3COFF,20170406,7.25,7.25,7.25,7.25,904
RCFL3COFF,20170410,7.57,7.57,7.57,7.57,904
RCFL3COFF,20170418,7.64,7.64,7.64,7.64,500
RCFL3COFF,20170420,7.35,7.35,7.35,7.35,400
RCFL3COFF,20170421,6.44,6.47,6.03,6.03,53200
RCFL3COFF,20170424,6.09,6.17,6.03,6.03,18100
RCFL3COFF,20170427,5.61,5.62,5.61,5.62,4550
RCFL3COFF,20170505,6.35,6.35,6.35,6.35,875
RCFL3COFF,20170511,6.50,6.50,6.49,6.49,1500
RCFL3COFF,20170516,5.83,5.83,5.83,5.83,5000
RCFL3COFF,20170518,5.31,5.31,5.31,5.31,1775
RCFL3COFF,20170531,5.37,5.37,5.37,5.37,500
RCFL3COFF,20170601,5.24,5.24,5.19,5.19,950
RCFL3COFF,20170602,5.00,5.00,4.95,4.95,8000
RCFL3COFF,20170605,4.78,4.78,4.78,4.78,5000
RCFL3COFF,20170606,4.91,4.91,4.91,4.91,5000
RCFL3COFF,20170608,4.82,4.82,4.82,4.82,1000
RCFL3COFF,20170609,4.90,4.90,4.90,4.90,1000
RCFL3COFF,20170621,4.47,4.47,4.47,4.47,5000
RCFL3COFF,20170622,4.16,4.16,4.09,4.09,3380
RCFL3COFF,20170623,3.67,4.05,3.67,4.05,1195
RCFL3COFF,20170626,4.17,4.45,4.17,4.45,9000
RCFL3COFF,20170627,4.43,4.43,4.35,4.35,150
RCFL3COFF,20170629,4.62,4.62,4.62,4.62,80
RCFL3COFF,20170630,4.47,4.47,4.46,4.46,295
RCFL3COFF,20170703,4.46,4.67,4.46,4.67,3070
RCFL3COFF,20170705,4.84,4.84,4.84,4.84,200
RCFL3COFF,20170706,4.94,4.94,4.72,4.72,1160
RCFL3COFF,20170707,4.68,4.68,4.68,4.68,70
RCFL3COFF,20170712,4.56,4.68,4.56,4.68,125
RCFL3COFF,20170713,4.89,4.89,4.89,4.89,325
RCFL3COFF,20170714,5.07,5.19,5.07,5.19,950
RCFL3COFF,20170717,5.18,5.30,5.18,5.25,2044
RCFL3COFF,20170718,5.27,5.27,5.27,5.27,70
RCFL3COFF,20170719,5.38,5.42,5.38,5.41,2445
RCFL3COFF,20170720,5.41,5.41,5.33,5.33,140
RCFL3COFF,20170721,5.51,5.51,5.51,5.51,400
