Name,Date,Open,High,Low,Close,Volume
RCFL3ENA,20161102,133.40,133.40,133.40,133.40,7
RCFL3ENA,20161104,145.00,145.00,145.00,145.00,7
RCFL3ENA,20161110,171.80,171.80,171.80,171.80,10
RCFL3ENA,20161114,157.80,157.80,157.80,157.80,5
RCFL3ENA,20161115,119.10,119.10,119.10,119.10,5
RCFL3ENA,20161116,107.60,107.60,107.60,107.60,10
RCFL3ENA,20161117,109.50,109.50,105.80,105.80,33
RCFL3ENA,20161121,109.50,109.50,109.50,109.50,30
RCFL3ENA,20161122,119.90,121.50,119.90,121.50,50
RCFL3ENA,20161123,127.10,127.10,126.20,126.20,115
RCFL3ENA,20161124,124.60,124.60,124.60,124.60,13
RCFL3ENA,20161208,119.50,119.50,119.50,119.50,167
RCFL3ENA,20161212,115.60,115.60,115.60,115.60,24
RCFL3ENA,20161222,125.20,125.20,125.20,125.20,15
RCFL3ENA,20170116,115.50,115.50,115.50,115.50,18
RCFL3ENA,20170123,112.20,112.20,112.20,112.20,8
RCFL3ENA,20170126,126.40,126.40,125.00,125.00,30
RCFL3ENA,20170131,134.50,140.40,134.40,140.40,362
RCFL3ENA,20170202,143.90,143.90,143.90,143.90,7
RCFL3ENA,20170207,140.40,140.60,140.40,140.60,50
RCFL3ENA,20170208,128.70,128.70,128.70,128.70,10
RCFL3ENA,20170210,140.10,140.10,140.10,140.10,60
RCFL3ENA,20170213,150.60,159.80,150.60,159.80,342
RCFL3ENA,20170216,154.30,154.30,154.30,154.30,7
RCFL3ENA,20170224,150.00,150.50,150.00,150.50,10
RCFL3ENA,20170302,165.60,165.60,165.60,165.60,252
RCFL3ENA,20170307,182.90,182.90,182.90,182.90,5
RCFL3ENA,20170310,178.50,178.50,178.50,178.50,22
RCFL3ENA,20170314,184.70,184.70,176.90,176.90,96
RCFL3ENA,20170320,210.10,210.10,210.10,210.10,5
RCFL3ENA,20170321,219.70,219.70,199.60,199.60,343
RCFL3ENA,20170327,200.00,200.00,200.00,200.00,5
RCFL3ENA,20170428,198.30,198.30,198.30,198.30,20
RCFL3ENA,20170516,189.80,189.80,187.30,187.30,20
RCFL3ENA,20170519,163.70,163.70,163.70,163.70,14
RCFL3ENA,20170607,211.80,211.80,211.80,211.80,4
RCFL3ENA,20170609,218.20,218.20,218.20,218.20,4
RCFL3ENA,20170620,263.70,263.70,251.80,251.80,28
RCFL3ENA,20170707,275.00,275.00,275.00,275.00,4
RCFL3ENA,20170713,332.60,332.60,332.60,332.60,213
RCFL3ENA,20170714,371.00,371.00,371.00,371.00,4
RCFL3ENA,20170717,364.60,364.60,364.60,364.60,4
