Name,Date,Open,High,Low,Close,Volume
RCFL3LTS,20161215,240.20,240.20,240.20,240.20,2
RCFL3LTS,20170120,223.90,223.90,213.30,213.30,9
RCFL3LTS,20170124,213.50,213.50,213.50,213.50,4
RCFL3LTS,20170125,219.00,219.00,217.20,217.20,14
RCFL3LTS,20170126,221.10,221.10,221.10,221.10,10
RCFL3LTS,20170131,215.40,215.40,215.40,215.40,10
RCFL3LTS,20170201,220.00,220.00,220.00,220.00,5
RCFL3LTS,20170203,224.90,224.90,224.90,224.90,30
RCFL3LTS,20170208,270.10,270.10,270.10,270.10,6
RCFL3LTS,20170209,312.50,312.50,312.50,312.50,15
RCFL3LTS,20170210,328.60,329.00,319.40,319.40,30
RCFL3LTS,20170213,326.00,326.00,321.50,321.50,15
RCFL3LTS,20170214,340.10,348.90,340.10,348.90,60
RCFL3LTS,20170215,346.70,346.70,346.70,346.70,50
RCFL3LTS,20170216,365.20,415.30,365.20,415.30,42
RCFL3LTS,20170217,363.50,363.50,363.50,363.50,15
RCFL3LTS,20170220,391.00,391.00,391.00,391.00,15
RCFL3LTS,20170221,423.00,447.20,423.00,446.40,28
RCFL3LTS,20170224,462.80,488.90,462.80,488.90,85
RCFL3LTS,20170228,434.90,434.90,434.90,434.90,8
RCFL3LTS,20170302,490.30,490.30,490.30,490.30,35
RCFL3LTS,20170307,486.50,486.50,486.50,486.50,8
RCFL3LTS,20170314,639.50,639.50,639.50,639.50,3
RCFL3LTS,20170315,671.90,671.90,671.90,671.90,17
RCFL3LTS,20170316,696.70,696.70,696.70,696.70,17
RCFL3LTS,20170320,641.10,641.10,641.10,641.10,3
RCFL3LTS,20170324,728.00,728.00,728.00,728.00,2
RCFL3LTS,20170327,538.90,538.90,538.90,538.90,2
RCFL3LTS,20170331,584.70,584.70,579.30,579.30,13
RCFL3LTS,20170404,574.90,574.90,574.90,574.90,1
RCFL3LTS,20170405,580.10,580.10,580.10,580.10,4
RCFL3LTS,20170406,562.20,562.20,562.20,562.20,3
RCFL3LTS,20170410,540.10,540.10,540.10,540.10,4
RCFL3LTS,20170411,536.80,536.80,536.80,536.80,10
RCFL3LTS,20170412,462.40,483.20,460.40,460.40,21
RCFL3LTS,20170413,489.10,489.10,489.10,489.10,4
RCFL3LTS,20170426,736.90,741.90,736.90,741.90,19
RCFL3LTS,20170427,749.90,749.90,749.70,749.70,26
RCFL3LTS,20170509,683.40,683.40,683.40,683.40,15
RCFL3LTS,20170516,615.10,615.10,610.00,610.00,9
RCFL3LTS,20170517,538.40,538.40,530.60,530.60,15
RCFL3LTS,20170518,506.20,506.20,506.20,506.20,5
RCFL3LTS,20170525,577.20,577.20,577.20,577.20,5
RCFL3LTS,20170609,563.60,563.60,563.60,563.60,3
RCFL3LTS,20170612,539.90,539.90,539.20,539.20,12
RCFL3LTS,20170620,520.70,520.70,520.70,520.70,40
RCFL3LTS,20170629,464.70,464.70,464.70,464.70,15
RCFL3LTS,20170630,428.10,428.10,414.50,414.50,15
RCFL3LTS,20170707,448.70,448.80,448.70,448.80,5
RCFL3LTS,20170720,444.70,444.70,444.70,444.70,2
