Name,Date,Open,High,Low,Close,Volume
RCFL3SUGA,20170320,7.00,7.00,7.00,7.00,75
RCFL3SUGA,20170321,5.92,5.92,5.92,5.92,8392
RCFL3SUGA,20170323,6.15,6.15,5.95,5.95,15608
RCFL3SUGA,20170403,5.59,5.59,5.59,5.59,357
RCFL3SUGA,20170428,4.23,4.23,4.23,4.23,593
RCFL3SUGA,20170505,4.07,4.07,4.07,4.07,75
RCFL3SUGA,20170523,4.48,4.48,4.48,4.48,1400
RCFL3SUGA,20170526,3.76,3.76,3.69,3.69,1609
RCFL3SUGA,20170530,3.35,3.35,3.35,3.35,770
RCFL3SUGA,20170531,3.41,3.41,3.41,3.41,770
RCFL3SUGA,20170605,2.82,2.82,2.82,2.82,1250
RCFL3SUGA,20170606,2.79,2.79,2.65,2.65,3059
RCFL3SUGA,20170607,2.73,2.73,2.73,2.73,10000
RCFL3SUGA,20170608,2.99,2.99,2.99,2.99,10000
RCFL3SUGA,20170612,3.07,3.07,3.07,3.07,1440
RCFL3SUGA,20170620,2.64,2.64,2.64,2.64,200
RCFL3SUGA,20170623,2.23,2.23,2.23,2.23,200
RCFL3SUGA,20170627,2.12,2.12,2.12,2.12,1050
RCFL3SUGA,20170628,2.13,2.13,2.13,2.13,5000
RCFL3SUGA,20170629,2.05,2.25,2.05,2.25,1375
RCFL3SUGA,20170630,2.35,2.42,2.35,2.42,5200
RCFL3SUGA,20170703,2.41,2.43,2.28,2.43,5800
RCFL3SUGA,20170704,2.58,2.58,2.58,2.58,500
RCFL3SUGA,20170705,2.53,2.53,2.53,2.53,400
RCFL3SUGA,20170712,2.30,2.30,2.30,2.30,5000
RCFL3SUGA,20170713,2.51,2.64,2.51,2.64,12500
RCFL3SUGA,20170714,2.65,2.66,2.65,2.66,3500
RCFL3SUGA,20170717,2.70,2.70,2.55,2.55,15000
RCFL3SUGA,20170719,2.67,2.67,2.67,2.67,3750
RCFL3SUGA,20170720,2.85,2.85,2.85,2.85,9000
