Name,Date,Open,High,Low,Close,Volume
RCFL3TPE,20161104,112.70,112.70,112.70,112.70,25
RCFL3TPE,20161109,107.80,107.80,107.80,107.80,25
RCFL3TPE,20161114,99.90,99.90,99.90,99.90,200
RCFL3TPE,20161123,120.70,120.70,120.70,120.70,40
RCFL3TPE,20161124,118.10,118.10,118.10,118.10,30
RCFL3TPE,20161125,121.20,121.20,121.20,121.20,200
RCFL3TPE,20161206,122.70,122.70,121.40,121.40,110
RCFL3TPE,20161207,123.00,130.80,123.00,130.80,239
RCFL3TPE,20161208,126.60,126.60,126.60,126.60,160
RCFL3TPE,20161209,127.70,127.70,127.70,127.70,77
RCFL3TPE,20161212,123.30,123.30,118.50,118.50,79
RCFL3TPE,20161220,149.60,149.60,149.60,149.60,33
RCFL3TPE,20161228,150.50,150.50,148.20,148.20,151
RCFL3TPE,20161229,139.70,139.70,139.70,139.70,33
RCFL3TPE,20170102,143.60,143.60,143.60,143.60,50
RCFL3TPE,20170110,150.60,150.60,150.60,150.60,20
RCFL3TPE,20170111,147.70,147.70,147.70,147.70,50
RCFL3TPE,20170127,153.90,153.90,153.90,153.90,50
RCFL3TPE,20170130,147.40,147.40,147.40,147.40,80
RCFL3TPE,20170206,149.80,152.90,143.50,143.50,89
RCFL3TPE,20170208,137.50,137.50,137.50,137.50,20
RCFL3TPE,20170209,141.60,141.60,141.60,141.60,15
RCFL3TPE,20170213,150.30,162.30,150.30,160.00,195
RCFL3TPE,20170214,156.80,156.80,156.80,156.80,6
RCFL3TPE,20170215,151.20,151.20,151.20,151.20,100
RCFL3TPE,20170216,152.70,152.70,152.70,152.70,100
RCFL3TPE,20170222,151.50,155.30,151.50,153.80,76
RCFL3TPE,20170228,154.90,154.90,154.90,154.90,10
RCFL3TPE,20170302,170.50,175.50,170.50,175.50,75
RCFL3TPE,20170306,192.30,192.30,189.50,189.50,59
RCFL3TPE,20170307,188.20,188.20,188.20,188.20,6
RCFL3TPE,20170309,177.50,177.50,175.70,175.70,25
RCFL3TPE,20170310,180.90,180.90,180.90,180.90,10
RCFL3TPE,20170314,173.90,173.90,173.90,173.90,10
RCFL3TPE,20170315,167.20,167.20,167.20,167.20,6
RCFL3TPE,20170321,183.00,183.00,183.00,183.00,6
RCFL3TPE,20170328,194.40,203.00,194.40,203.00,17
RCFL3TPE,20170329,224.40,224.40,209.50,209.50,7
RCFL3TPE,20170330,208.10,208.10,208.10,208.10,87
RCFL3TPE,20170419,184.00,184.00,175.30,175.30,28
RCFL3TPE,20170420,170.10,173.40,166.80,166.80,40
RCFL3TPE,20170421,175.00,175.00,175.00,175.00,75
RCFL3TPE,20170425,170.70,170.70,170.70,170.70,25
RCFL3TPE,20170426,176.20,176.20,176.20,176.20,59
RCFL3TPE,20170428,192.60,192.60,192.60,192.60,18
RCFL3TPE,20170502,196.50,196.50,196.50,196.50,50
RCFL3TPE,20170504,195.70,195.70,195.70,195.70,100
RCFL3TPE,20170505,190.40,190.40,190.40,190.40,40
RCFL3TPE,20170509,199.20,199.20,199.20,199.20,25
RCFL3TPE,20170511,207.90,207.90,207.90,207.90,144
RCFL3TPE,20170516,184.50,193.40,184.50,193.40,210
RCFL3TPE,20170519,197.60,197.60,197.60,197.60,200
RCFL3TPE,20170523,200.00,200.00,200.00,200.00,40
RCFL3TPE,20170530,199.70,199.70,194.00,194.00,120
RCFL3TPE,20170531,195.90,195.90,195.90,195.90,160
RCFL3TPE,20170612,219.00,219.00,219.00,219.00,5
RCFL3TPE,20170616,244.90,244.90,239.90,239.90,107
RCFL3TPE,20170620,249.00,249.00,249.00,249.00,7
RCFL3TPE,20170704,220.30,220.30,220.30,220.30,2
RCFL3TPE,20170718,279.40,279.40,279.40,279.40,21
RCFL3TPE,20170719,281.50,281.50,275.50,275.50,65
RCFL3TPE,20170721,281.60,281.60,281.60,281.60,144
