Name,Date,Open,High,Low,Close,Volume
RCFL3WHT,20170112,9.75,9.75,9.75,9.75,102
RCFL3WHT,20170116,10.28,10.28,10.28,10.28,102
RCFL3WHT,20170124,10.91,10.91,10.64,10.64,425
RCFL3WHT,20170125,10.11,10.11,10.11,10.11,175
RCFL3WHT,20170126,10.10,10.10,10.10,10.10,148
RCFL3WHT,20170130,9.60,9.60,9.60,9.60,104
RCFL3WHT,20170202,10.43,10.62,10.43,10.62,2252
RCFL3WHT,20170203,10.44,10.47,10.44,10.47,1500
RCFL3WHT,20170206,10.31,10.31,10.31,10.31,1000
RCFL3WHT,20170207,9.78,9.78,9.75,9.75,1153
RCFL3WHT,20170208,10.27,10.27,10.27,10.27,200
RCFL3WHT,20170209,10.41,10.47,10.41,10.47,3300
RCFL3WHT,20170210,11.36,11.43,11.30,11.43,2067
RCFL3WHT,20170213,11.70,11.70,11.70,11.70,500
RCFL3WHT,20170214,12.00,12.00,11.82,11.82,1086
RCFL3WHT,20170215,11.82,11.82,11.75,11.75,110
RCFL3WHT,20170216,12.35,12.49,12.35,12.49,1586
RCFL3WHT,20170217,11.47,11.53,11.47,11.53,174
RCFL3WHT,20170220,11.26,11.26,11.26,11.26,200
RCFL3WHT,20170221,11.22,11.22,10.93,10.93,821
RCFL3WHT,20170222,11.06,11.29,10.99,11.21,2976
RCFL3WHT,20170223,11.29,11.33,11.29,11.33,570
RCFL3WHT,20170224,11.00,11.04,10.50,10.66,11280
RCFL3WHT,20170227,10.62,10.62,10.39,10.39,3192
RCFL3WHT,20170228,10.14,10.35,10.14,10.35,410
RCFL3WHT,20170301,10.58,10.58,10.58,10.58,600
RCFL3WHT,20170302,11.19,11.19,11.19,11.19,250
RCFL3WHT,20170306,11.14,11.50,11.14,11.50,1630
RCFL3WHT,20170307,11.09,11.09,11.08,11.08,590
RCFL3WHT,20170308,10.85,10.85,10.85,10.85,800
RCFL3WHT,20170309,10.52,10.53,10.50,10.52,2431
RCFL3WHT,20170310,10.30,10.30,10.25,10.25,4048
RCFL3WHT,20170313,9.86,9.86,9.47,9.47,8109
RCFL3WHT,20170314,9.16,9.58,9.16,9.58,740
RCFL3WHT,20170315,9.61,9.70,9.61,9.68,2410
RCFL3WHT,20170316,9.89,9.89,9.67,9.67,3210
RCFL3WHT,20170317,9.46,9.60,9.46,9.60,182
RCFL3WHT,20170320,9.85,9.85,9.77,9.77,1121
RCFL3WHT,20170321,9.08,9.08,8.54,8.54,14646
RCFL3WHT,20170322,8.62,8.82,8.62,8.82,190
RCFL3WHT,20170323,8.72,8.72,8.63,8.63,570
RCFL3WHT,20170327,8.59,8.59,8.25,8.28,11875
RCFL3WHT,20170328,8.25,8.64,8.25,8.64,3596
RCFL3WHT,20170330,8.52,8.52,8.52,8.52,143
RCFL3WHT,20170403,9.16,9.16,9.16,9.16,183
RCFL3WHT,20170405,9.07,9.07,9.07,9.07,526
RCFL3WHT,20170407,8.72,8.72,8.72,8.72,181
RCFL3WHT,20170412,9.21,9.31,9.21,9.31,781
RCFL3WHT,20170418,8.63,8.63,8.50,8.50,303
RCFL3WHT,20170419,8.58,8.58,8.58,8.58,220
RCFL3WHT,20170420,8.52,8.55,7.90,7.99,11345
RCFL3WHT,20170421,7.70,7.70,7.43,7.46,13884
RCFL3WHT,20170425,7.30,7.30,7.29,7.29,787
RCFL3WHT,20170426,7.83,7.83,7.83,7.83,100
RCFL3WHT,20170427,7.69,7.69,7.69,7.69,160
RCFL3WHT,20170502,9.35,9.42,9.05,9.05,7118
RCFL3WHT,20170505,8.30,8.30,8.12,8.22,3500
RCFL3WHT,20170510,7.80,7.89,7.80,7.89,2630
RCFL3WHT,20170512,8.00,8.00,8.00,8.00,240
RCFL3WHT,20170515,7.57,7.57,7.57,7.57,132
RCFL3WHT,20170516,7.28,7.28,7.24,7.24,4000
RCFL3WHT,20170517,7.55,7.55,7.40,7.40,2600
RCFL3WHT,20170518,7.46,7.46,7.46,7.46,1250
RCFL3WHT,20170522,7.85,7.88,7.79,7.79,1382
RCFL3WHT,20170523,7.58,7.62,7.58,7.59,3483
RCFL3WHT,20170524,7.50,7.50,7.50,7.50,500
RCFL3WHT,20170526,7.32,7.32,7.32,7.32,1050
RCFL3WHT,20170531,7.47,7.47,7.47,7.47,1000
RCFL3WHT,20170601,7.34,7.34,7.31,7.31,2190
RCFL3WHT,20170605,7.35,7.35,7.35,7.35,250
RCFL3WHT,20170607,7.77,8.05,7.77,8.05,328
RCFL3WHT,20170608,8.51,8.51,8.51,8.51,269
RCFL3WHT,20170609,8.15,8.15,8.15,8.15,200
RCFL3WHT,20170614,8.47,8.47,8.47,8.47,300
RCFL3WHT,20170616,9.01,9.20,9.01,9.20,557
RCFL3WHT,20170619,9.40,9.46,9.40,9.46,14671
RCFL3WHT,20170620,9.83,9.84,9.50,9.55,21016
RCFL3WHT,20170621,9.87,9.87,9.53,9.53,5140
RCFL3WHT,20170622,9.35,9.35,9.10,9.10,772
RCFL3WHT,20170623,9.20,9.38,9.20,9.38,300
RCFL3WHT,20170626,8.78,8.78,8.50,8.68,10600
RCFL3WHT,20170629,9.07,9.66,9.07,9.64,3672
RCFL3WHT,20170630,10.73,11.04,10.71,11.04,14182
RCFL3WHT,20170703,12.86,13.20,12.86,12.90,8615
RCFL3WHT,20170704,13.98,13.98,13.98,13.98,200
RCFL3WHT,20170705,15.08,15.08,12.98,12.98,1100
RCFL3WHT,20170706,12.70,13.20,12.70,13.20,1020
RCFL3WHT,20170710,13.44,13.47,13.39,13.39,4225
RCFL3WHT,20170713,11.44,11.44,11.09,11.09,745
RCFL3WHT,20170714,11.09,11.09,10.97,10.97,200
RCFL3WHT,20170717,10.28,10.30,10.28,10.30,200
RCFL3WHT,20170718,10.67,10.83,10.67,10.83,164
RCFL3WHT,20170719,10.05,10.05,10.05,10.05,150
RCFL3WHT,20170720,9.81,10.03,9.80,9.80,4020
