Name,Date,Open,High,Low,Close,Volume
RCFS2BAS,20161209,30.00,30.00,30.00,30.00,35
RCFS2BAS,20161220,28.63,28.63,28.63,28.63,35
RCFS2BAS,20170111,26.96,26.96,26.96,26.96,35
RCFS2BAS,20170425,23.42,23.42,23.42,23.42,50
RCFS2BAS,20170602,24.97,24.99,24.97,24.99,315
RCFS2BAS,20170614,23.60,23.60,23.60,23.60,40
RCFS2BAS,20170623,25.28,25.28,25.28,25.28,40
RCFS2BAS,20170626,24.89,24.89,24.89,24.89,40
RCFS2BAS,20170627,25.00,25.00,25.00,25.00,40
RCFS2BAS,20170630,27.00,27.00,27.00,27.00,60
RCFS2BAS,20170707,27.30,27.30,27.27,27.27,100
