Name,Date,Open,High,Low,Close,Volume
RCFS3CCC,20161125,65.85,65.85,65.85,65.85,300
RCFS3CCC,20161128,65.80,65.80,65.80,65.80,60
RCFS3CCC,20170103,50.00,50.00,49.86,49.86,60
RCFS3CCC,20170105,51.00,51.00,51.00,51.00,30
RCFS3CCC,20170125,52.95,52.95,52.95,52.95,5
RCFS3CCC,20170224,40.18,40.18,40.18,40.18,300
RCFS3CCC,20170301,38.60,38.60,38.60,38.60,5
RCFS3CCC,20170308,37.97,37.97,37.42,37.42,11
RCFS3CCC,20170314,32.37,32.37,32.37,32.37,200
RCFS3CCC,20170322,34.99,34.99,34.99,34.99,200
RCFS3CCC,20170403,31.41,31.41,31.41,31.41,25
RCFS3CCC,20170411,33.00,33.00,33.00,33.00,1
RCFS3CCC,20170418,35.11,35.11,35.11,35.11,25
RCFS3CCC,20170516,45.25,45.25,45.25,45.25,20
RCFS3CCC,20170524,35.02,35.02,34.41,34.95,115
RCFS3CCC,20170525,40.65,40.65,40.65,40.65,200
RCFS3CCC,20170526,40.18,40.18,38.57,38.57,300
RCFS3CCC,20170530,40.66,41.04,40.66,41.04,215
RCFS3CCC,20170531,42.33,42.33,42.33,42.33,17
RCFS3CCC,20170627,33.00,33.00,33.00,33.00,120
RCFS3CCC,20170628,30.56,30.56,30.56,30.56,120
RCFS3CCC,20170712,29.78,29.78,29.78,29.78,3
