Name,Date,Open,High,Low,Close,Volume
RCFS3COCO,20170321,7.56,7.56,7.56,7.56,13
RCFS3COCO,20170323,7.27,7.27,7.27,7.27,13
RCFS3COCO,20170407,8.80,8.98,8.80,8.98,384
RCFS3COCO,20170410,9.55,9.84,9.55,9.84,369
RCFS3COCO,20170411,10.06,10.06,10.06,10.06,100
RCFS3COCO,20170412,9.68,9.68,9.68,9.68,69
RCFS3COCO,20170413,9.82,9.82,9.82,9.82,63
RCFS3COCO,20170418,10.02,10.02,10.02,10.02,63
RCFS3COCO,20170420,11.80,11.80,11.80,11.80,112
RCFS3COCO,20170424,10.66,10.66,10.66,10.66,400
RCFS3COCO,20170426,10.37,10.78,10.37,10.78,212
RCFS3COCO,20170427,10.62,10.62,10.62,10.62,400
RCFS3COCO,20170504,11.77,11.77,11.77,11.77,100
RCFS3COCO,20170505,10.82,10.82,10.82,10.82,400
RCFS3COCO,20170509,9.26,9.26,9.26,9.26,600
RCFS3COCO,20170515,7.86,7.86,7.86,7.86,118
RCFS3COCO,20170516,8.05,8.29,8.05,8.29,757
RCFS3COCO,20170517,7.65,7.65,7.65,7.65,157
RCFS3COCO,20170518,7.37,7.37,7.37,7.37,600
RCFS3COCO,20170522,7.57,7.57,7.57,7.57,150
RCFS3COCO,20170525,9.18,9.18,9.18,9.18,718
RCFS3COCO,20170526,9.03,9.03,9.03,9.03,150
RCFS3COCO,20170602,7.52,7.52,7.52,7.52,356
RCFS3COCO,20170606,7.61,7.61,7.61,7.61,356
RCFS3COCO,20170608,7.25,7.89,7.25,7.89,1800
RCFS3COCO,20170613,6.65,6.83,6.65,6.83,2600
RCFS3COCO,20170622,10.08,10.08,10.08,10.08,119
RCFS3COCO,20170630,8.78,8.78,8.28,8.28,1319
RCFS3COCO,20170703,7.81,7.81,7.81,7.81,1200
RCFS3COCO,20170714,8.85,8.85,8.85,8.85,98
RCFS3COCO,20170721,7.32,7.32,7.32,7.32,98
