Name,Date,Open,High,Low,Close,Volume
RCFS3ENG,20161214,43.50,43.50,43.50,43.50,100
RCFS3ENG,20161215,44.51,44.51,44.51,44.51,5
RCFS3ENG,20161219,42.25,42.41,42.25,42.41,40
RCFS3ENG,20161220,40.03,40.03,40.03,40.03,55
RCFS3ENG,20170112,43.73,43.73,43.73,43.73,10
RCFS3ENG,20170113,45.17,45.17,45.17,45.17,1
RCFS3ENG,20170116,43.83,43.83,42.48,42.48,131
RCFS3ENG,20170117,43.64,43.64,43.64,43.64,5
RCFS3ENG,20170118,43.00,43.00,42.93,42.93,115
RCFS3ENG,20170119,43.75,43.75,43.75,43.75,90
RCFS3ENG,20170120,42.31,42.31,40.50,40.50,90
RCFS3ENG,20170209,29.07,29.07,28.28,28.28,172
RCFS3ENG,20170210,27.78,28.60,27.78,28.46,81
RCFS3ENG,20170213,25.80,25.80,24.87,24.87,199
RCFS3ENG,20170215,25.47,25.47,25.47,25.47,150
RCFS3ENG,20170228,24.20,24.20,21.05,21.05,500
RCFS3ENG,20170317,21.13,21.13,21.13,21.13,95
RCFS3ENG,20170320,21.30,21.30,21.30,21.30,200
RCFS3ENG,20170322,22.41,22.41,22.41,22.41,95
RCFS3ENG,20170323,21.44,21.66,21.44,21.66,600
RCFS3ENG,20170418,25.65,27.25,25.65,27.25,36
RCFS3ENG,20170420,25.44,26.91,25.44,26.91,106
RCFS3ENG,20170504,27.07,27.07,27.07,27.07,120
RCFS3ENG,20170505,27.18,27.18,27.18,27.18,850
RCFS3ENG,20170602,25.90,26.72,25.90,26.72,200
RCFS3ENG,20170605,27.80,27.80,27.80,27.80,130
RCFS3ENG,20170619,20.66,20.75,20.66,20.75,270
RCFS3ENG,20170720,15.89,15.89,15.54,15.54,200
RCFS3ENG,20170721,13.97,13.97,13.50,13.50,300
