Name,Date,Open,High,Low,Close,Volume
RCFS3LPP,20161020,20.02,20.02,20.02,20.02,50
RCFS3LPP,20161102,20.12,20.12,20.12,20.12,920
RCFS3LPP,20161118,27.82,27.82,27.82,27.82,10
RCFS3LPP,20161121,23.77,23.77,23.77,23.77,10
RCFS3LPP,20161123,17.79,17.79,17.79,17.79,200
RCFS3LPP,20161124,18.04,18.04,17.32,17.32,400
RCFS3LPP,20161130,18.13,18.13,18.13,18.13,1000
RCFS3LPP,20161205,16.70,16.90,16.70,16.82,900
RCFS3LPP,20161207,16.85,16.97,16.81,16.97,400
RCFS3LPP,20161209,16.48,17.55,16.48,17.55,1100
RCFS3LPP,20170110,21.96,21.96,21.96,21.96,30
RCFS3LPP,20170131,24.00,24.00,24.00,24.00,30
RCFS3LPP,20170202,25.08,25.08,25.08,25.08,920
RCFS3LPP,20170308,11.87,11.87,11.87,11.87,5
RCFS3LPP,20170317,9.48,9.90,8.75,8.75,7760
RCFS3LPP,20170320,9.39,9.83,9.39,9.83,620
RCFS3LPP,20170321,10.29,10.29,10.04,10.04,1180
RCFS3LPP,20170327,9.99,9.99,9.99,9.99,963
RCFS3LPP,20170330,9.93,9.93,9.93,9.93,1004
RCFS3LPP,20170331,9.27,9.27,9.27,9.27,1075
RCFS3LPP,20170411,11.18,11.34,11.18,11.34,105
RCFS3LPP,20170420,8.88,8.88,8.88,8.88,100
RCFS3LPP,20170421,8.66,8.66,8.66,8.66,1166
RCFS3LPP,20170424,9.29,9.29,9.25,9.25,4208
RCFS3LPP,20170502,9.56,9.56,9.56,9.56,500
RCFS3LPP,20170505,10.72,10.72,10.72,10.72,500
RCFS3LPP,20170508,10.64,10.64,10.64,10.64,500
RCFS3LPP,20170509,9.69,9.69,9.67,9.67,500
RCFS3LPP,20170602,9.62,9.62,9.62,9.62,30
RCFS3LPP,20170627,7.33,7.33,7.09,7.09,2900
RCFS3LPP,20170628,6.42,6.62,6.42,6.62,6580
RCFS3LPP,20170710,7.95,7.95,7.95,7.95,4080
RCFS3LPP,20170717,6.99,7.11,6.99,7.11,2250
RCFS3LPP,20170719,7.08,7.13,7.08,7.13,1880
