Name,Date,Open,High,Low,Close,Volume
RCFS3MBK,20170112,75.35,75.35,74.05,74.05,35
RCFS3MBK,20170113,75.50,76.00,75.50,76.00,35
RCFS3MBK,20170125,58.15,58.15,58.15,58.15,10
RCFS3MBK,20170126,55.60,59.10,55.60,59.10,90
RCFS3MBK,20170208,51.00,51.60,51.00,51.60,95
RCFS3MBK,20170209,48.90,48.90,42.22,42.22,600
RCFS3MBK,20170210,38.86,39.98,36.34,39.79,500
RCFS3MBK,20170214,41.93,41.93,41.93,41.93,100
RCFS3MBK,20170331,49.23,49.23,49.23,49.23,90
RCFS3MBK,20170405,45.66,45.66,45.66,45.66,25
RCFS3MBK,20170426,34.96,34.96,34.96,34.96,50
RCFS3MBK,20170427,35.90,35.90,35.90,35.90,30
RCFS3MBK,20170509,27.69,27.69,27.69,27.69,300
RCFS3MBK,20170516,29.39,29.39,29.39,29.39,300
RCFS3MBK,20170608,27.69,27.69,27.69,27.69,50
RCFS3MBK,20170613,28.15,28.15,28.15,28.15,50
RCFS3MBK,20170621,25.12,25.12,25.12,25.12,116
RCFS3MBK,20170623,23.96,23.96,23.96,23.96,116
RCFS3MBK,20170627,21.68,21.68,21.68,21.68,100
