Name,Date,Open,High,Low,Close,Volume
RCFS3PGN,20170104,61.45,61.45,61.45,61.45,32
RCFS3PGN,20170105,62.75,62.75,62.75,62.75,32
RCFS3PGN,20170307,44.91,44.91,44.91,44.91,12
RCFS3PGN,20170320,41.00,41.00,41.00,41.00,12
RCFS3PGN,20170505,33.27,33.27,33.27,33.27,70
RCFS3PGN,20170509,35.65,35.65,35.65,35.65,14
RCFS3PGN,20170518,36.55,36.55,36.55,36.55,70
RCFS3PGN,20170529,29.36,29.36,29.36,29.36,20
RCFS3PGN,20170531,32.38,32.38,32.38,32.38,20
RCFS3PGN,20170622,28.43,28.43,28.43,28.43,14
RCFS3PGN,20170623,30.66,30.66,30.66,30.66,100
