Name,Date,Open,High,Low,Close,Volume
RCFS3TPE,20161220,50.85,50.85,50.85,50.85,20
RCFS3TPE,20170112,51.20,51.20,51.20,51.20,20
RCFS3TPE,20170113,53.00,53.00,52.70,52.70,64
RCFS3TPE,20170117,54.45,54.45,54.45,54.45,28
RCFS3TPE,20170126,45.01,45.01,45.01,45.01,36
RCFS3TPE,20170309,36.67,37.00,36.67,37.00,83
RCFS3TPE,20170315,39.05,39.05,39.05,39.05,83
RCFS3TPE,20170329,28.05,28.05,28.05,28.05,116
RCFS3TPE,20170403,30.46,30.46,30.46,30.46,99
RCFS3TPE,20170406,30.69,30.69,30.69,30.69,215
RCFS3TPE,20170410,30.21,30.21,30.21,30.21,225
RCFS3TPE,20170412,30.99,30.99,30.99,30.99,100
RCFS3TPE,20170413,30.38,30.38,30.38,30.38,164
RCFS3TPE,20170418,31.22,31.22,31.22,31.22,389
RCFS3TPE,20170421,32.36,32.36,32.36,32.36,100
RCFS3TPE,20170428,28.29,28.29,28.29,28.29,47
RCFS3TPE,20170502,29.70,29.70,29.70,29.70,47
RCFS3TPE,20170517,29.29,29.29,29.29,29.29,170
RCFS3TPE,20170620,19.79,19.79,19.79,19.79,600
RCFS3TPE,20170628,20.42,20.42,20.42,20.42,600
RCFS3TPE,20170630,21.28,21.28,21.28,21.28,170
RCFS3TPE,20170711,20.02,20.02,20.02,20.02,129
RCFS3TPE,20170717,17.64,17.64,17.64,17.64,129
