Name,Date,Open,High,Low,Close,Volume
RCFS4OIL,20161019,5.81,5.81,5.81,5.81,86
RCFS4OIL,20161020,5.93,5.93,5.93,5.93,86
RCFS4OIL,20161026,6.76,6.76,6.59,6.59,870
RCFS4OIL,20161031,7.01,7.81,7.01,7.64,1773
RCFS4OIL,20161102,8.66,9.45,8.61,9.15,4623
RCFS4OIL,20161103,8.92,9.42,8.92,9.42,1500
RCFS4OIL,20161104,9.58,9.58,9.58,9.58,1500
RCFS4OIL,20161108,9.73,9.73,9.73,9.73,2
RCFS4OIL,20161109,9.95,10.15,9.95,10.15,1000
RCFS4OIL,20161110,9.42,10.33,9.42,9.81,2207
RCFS4OIL,20161114,11.77,11.77,11.36,11.36,937
RCFS4OIL,20161115,10.44,10.44,10.00,10.00,1281
RCFS4OIL,20161116,9.43,9.43,9.41,9.41,1552
RCFS4OIL,20161117,8.90,8.90,8.90,8.90,300
RCFS4OIL,20161118,9.90,9.90,9.90,9.90,1020
RCFS4OIL,20161121,8.08,8.08,8.08,8.08,440
RCFS4OIL,20161122,7.38,7.70,7.38,7.63,1222
RCFS4OIL,20161128,7.95,8.01,7.95,7.99,5375
RCFS4OIL,20161129,8.68,8.95,8.68,8.95,6055
RCFS4OIL,20161130,7.48,7.48,6.25,6.40,14751
RCFS4OIL,20161201,5.40,5.44,4.95,5.05,5508
RCFS4OIL,20161202,5.10,5.10,4.75,4.75,6915
RCFS4OIL,20161205,4.45,4.54,4.34,4.34,1472
RCFS4OIL,20161206,4.81,4.90,4.79,4.90,2471
RCFS4OIL,20161207,4.83,4.85,4.72,4.72,2100
RCFS4OIL,20161208,4.80,4.90,4.80,4.90,6898
RCFS4OIL,20161212,3.73,4.05,3.73,3.98,38040
RCFS4OIL,20161213,4.15,4.33,4.00,4.33,5988
RCFS4OIL,20161215,4.59,4.97,4.54,4.97,2838
RCFS4OIL,20161216,4.55,4.55,4.33,4.33,5171
RCFS4OIL,20161219,4.12,4.42,4.12,4.40,74062
RCFS4OIL,20161220,4.43,4.43,4.16,4.16,20421
RCFS4OIL,20161221,4.07,4.33,4.07,4.33,7867
RCFS4OIL,20161222,4.43,4.43,4.43,4.43,54
RCFS4OIL,20161223,4.36,4.40,4.36,4.40,5250
RCFS4OIL,20161228,3.93,3.95,3.86,3.95,2031
RCFS4OIL,20161229,3.97,3.97,3.97,3.97,1000
RCFS4OIL,20161230,3.94,4.07,3.94,4.05,5353
RCFS4OIL,20170103,3.77,3.78,3.60,3.65,35522
RCFS4OIL,20170104,4.21,4.35,4.21,4.25,2661
RCFS4OIL,20170105,3.90,3.90,3.90,3.90,1000
RCFS4OIL,20170109,4.09,4.09,4.09,4.09,100
RCFS4OIL,20170110,4.43,4.43,4.43,4.43,1000
RCFS4OIL,20170111,4.62,4.67,4.50,4.67,27100
RCFS4OIL,20170112,3.90,3.90,3.90,3.90,1500
RCFS4OIL,20170113,4.03,4.07,4.03,4.07,1424
RCFS4OIL,20170117,3.83,3.83,3.83,3.83,1528
RCFS4OIL,20170118,4.11,4.36,4.11,4.33,5674
RCFS4OIL,20170119,4.38,4.38,4.30,4.30,1500
RCFS4OIL,20170130,4.10,4.10,4.10,4.10,91
RCFS4OIL,20170131,3.81,3.81,3.81,3.81,100
RCFS4OIL,20170202,3.59,3.60,3.54,3.58,22375
RCFS4OIL,20170206,3.70,3.70,3.70,3.70,200
RCFS4OIL,20170207,3.87,3.87,3.87,3.87,20000
RCFS4OIL,20170208,4.19,4.19,4.19,4.19,1000
RCFS4OIL,20170209,3.91,3.91,3.91,3.91,175
RCFS4OIL,20170210,3.83,3.83,3.70,3.70,52500
RCFS4OIL,20170213,3.75,3.98,3.75,3.98,13333
RCFS4OIL,20170214,3.84,3.84,3.84,3.84,3333
RCFS4OIL,20170216,4.00,4.05,4.00,4.05,1042
RCFS4OIL,20170217,3.93,3.93,3.93,3.93,20000
RCFS4OIL,20170221,3.65,3.65,3.65,3.65,1000
RCFS4OIL,20170223,3.71,3.71,3.55,3.55,1292
RCFS4OIL,20170224,3.73,3.74,3.72,3.72,1292
RCFS4OIL,20170228,3.84,3.84,3.84,3.84,30000
RCFS4OIL,20170302,3.84,4.11,3.84,4.01,3476
RCFS4OIL,20170303,4.10,4.10,4.00,4.00,1072
RCFS4OIL,20170307,3.78,3.78,3.78,3.78,520
RCFS4OIL,20170309,4.44,5.10,4.40,5.10,2993
RCFS4OIL,20170310,5.05,5.07,5.05,5.07,700
RCFS4OIL,20170313,5.25,5.25,5.25,5.25,3226
RCFS4OIL,20170314,5.60,5.70,5.53,5.53,1205
RCFS4OIL,20170315,5.20,5.20,5.10,5.10,820
RCFS4OIL,20170317,5.10,5.10,5.09,5.09,400
RCFS4OIL,20170320,5.23,5.23,5.18,5.18,625
RCFS4OIL,20170322,5.53,5.69,5.53,5.69,775
RCFS4OIL,20170323,5.36,5.36,5.36,5.36,100
RCFS4OIL,20170331,4.50,4.50,4.45,4.45,11200
RCFS4OIL,20170403,4.37,4.37,4.37,4.37,5000
