Name,Date,Open,High,Low,Close,Volume
RCGBSH10921,20160927,995.30,995.30,995.30,995.30,1
RCGBSH10921,20161121,965.90,965.90,965.90,965.90,10
RCGBSH10921,20161205,960.80,960.80,960.80,960.80,20
RCGBSH10921,20161212,963.80,963.80,963.80,963.80,4
RCGBSH10921,20170116,964.70,964.70,964.70,964.70,30
RCGBSH10921,20170119,962.20,962.20,962.20,962.20,24
RCGBSH10921,20170126,956.80,956.80,956.80,956.80,9
RCGBSH10921,20170307,968.30,968.30,968.30,968.30,2
RCGBSH10921,20170412,977.40,977.40,977.40,977.40,1
RCGBSH10921,20170510,981.90,981.90,981.90,981.90,30
RCGBSH10921,20170515,987.60,987.60,987.60,987.60,1
RCGBSH10921,20170529,983.70,983.70,983.70,983.70,15
RCGBSH10921,20170602,989.10,989.10,989.10,989.10,1
RCGBSH10921,20170627,986.70,986.70,986.70,986.70,29
