Name,Date,Open,High,Low,Close,Volume
RCGCOMB1120,20160128,985.39,985.39,985.39,985.39,200
RCGCOMB1120,20160304,983.66,983.66,980.86,980.86,91
RCGCOMB1120,20160307,982.67,987.66,982.67,987.66,35
RCGCOMB1120,20160309,987.95,988.05,987.95,988.05,291
RCGCOMB1120,20160310,989.13,989.13,989.13,989.13,20
RCGCOMB1120,20160329,984.03,984.03,984.03,984.03,7
RCGCOMB1120,20160331,985.39,985.39,985.39,985.39,10
RCGCOMB1120,20160406,974.42,974.42,974.02,974.02,107
RCGCOMB1120,20160407,974.22,974.22,974.22,974.22,20
RCGCOMB1120,20160506,986.58,986.58,986.58,986.58,50
RCGCOMB1120,20160517,994.09,994.09,994.09,994.09,90
RCGCOMB1120,20160519,988.74,988.74,988.74,988.74,53
RCGCOMB1120,20160606,996.64,996.64,996.64,996.64,20
RCGCOMB1120,20160711,980.20,980.20,980.20,980.20,5
RCGCOMB1120,20160722,989.70,989.70,989.70,989.70,9
RCGCOMB1120,20160728,985.80,985.80,985.80,985.80,21
RCGCOMB1120,20160801,983.60,983.60,983.60,983.60,20
RCGCOMB1120,20160809,983.70,983.70,983.70,983.70,185
RCGCOMB1120,20160810,981.90,983.20,981.90,983.20,20
RCGCOMB1120,20160826,988.30,988.30,988.30,988.30,50
RCGCOMB1120,20160829,989.10,989.10,989.10,989.10,50
RCGCOMB1120,20160902,975.60,975.60,975.60,975.60,50
RCGCOMB1120,20160907,981.50,981.50,981.50,981.50,5
RCGCOMB1120,20160909,982.10,982.10,982.10,982.10,100
RCGCOMB1120,20160916,981.60,981.60,981.60,981.60,150
RCGCOMB1120,20160922,986.80,986.80,986.80,986.80,50
RCGCOMB1120,20161017,993.70,993.70,993.70,993.70,15
RCGCOMB1120,20161019,995.40,995.40,995.40,995.40,50
RCGCOMB1120,20161031,992.60,992.60,992.60,992.60,20
RCGCOMB1120,20161110,994.60,994.60,994.60,994.60,203
RCGCOMB1120,20161115,974.60,974.60,974.60,974.60,55
RCGCOMB1120,20161128,995.90,995.90,995.90,995.90,100
RCGCOMB1120,20161129,1002.60,1002.60,1002.20,1002.20,50
RCGCOMB1120,20161205,1001.50,1001.50,1001.50,1001.50,10
RCGCOMB1120,20161214,1002.50,1002.50,1002.50,1002.50,5
RCGCOMB1120,20161215,1000.70,1000.70,1000.70,1000.70,50
RCGCOMB1120,20161230,996.50,996.50,996.50,996.50,10
RCGCOMB1120,20170131,990.20,991.60,990.20,991.60,15
RCGCOMB1120,20170207,996.10,996.10,996.10,996.10,64
RCGCOMB1120,20170208,995.20,995.20,995.20,995.20,35
RCGCOMB1120,20170209,998.70,998.70,998.70,998.70,118
RCGCOMB1120,20170213,998.70,998.70,998.70,998.70,5
RCGCOMB1120,20170222,993.10,993.10,993.00,993.00,73
RCGCOMB1120,20170223,994.90,994.90,994.90,994.90,30
RCGCOMB1120,20170301,1003.40,1003.40,1003.40,1003.40,50
RCGCOMB1120,20170314,994.20,994.20,994.20,994.20,50
RCGCOMB1120,20170317,997.90,997.90,997.90,997.90,5
RCGCOMB1120,20170320,998.60,998.60,998.60,998.60,10
RCGCOMB1120,20170327,1005.90,1005.90,1005.90,1005.90,16
RCGCOMB1120,20170328,1006.10,1006.10,1006.10,1006.10,50
RCGCOMB1120,20170329,1006.60,1006.60,1006.60,1006.60,61
RCGCOMB1120,20170406,1016.80,1016.80,1016.80,1016.80,50
RCGCOMB1120,20170407,1018.60,1018.60,1018.60,1018.60,25
RCGCOMB1120,20170410,1017.20,1017.20,1017.20,1017.20,50
RCGCOMB1120,20170411,1020.40,1020.70,1020.40,1020.70,67
RCGCOMB1120,20170418,1023.40,1023.40,1023.40,1023.40,44
RCGCOMB1120,20170419,1022.90,1022.90,1022.90,1022.90,10
RCGCOMB1120,20170420,1018.80,1018.80,1018.80,1018.80,51
RCGCOMB1120,20170421,1018.00,1018.00,1017.30,1017.30,46
RCGCOMB1120,20170425,1010.80,1010.80,1010.80,1010.80,30
RCGCOMB1120,20170426,1010.80,1010.80,1010.80,1010.80,50
RCGCOMB1120,20170505,1002.10,1003.80,1002.10,1003.80,121
RCGCOMB1120,20170510,1007.20,1007.20,1007.20,1007.20,20
RCGCOMB1120,20170512,1014.20,1014.20,1014.20,1014.20,95
RCGCOMB1120,20170516,1013.90,1013.90,1013.90,1013.90,500
RCGCOMB1120,20170517,1014.90,1014.90,1014.90,1014.90,56
RCGCOMB1120,20170518,1015.10,1015.10,1015.10,1015.10,230
RCGCOMB1120,20170522,1017.10,1017.40,1017.10,1017.40,191
RCGCOMB1120,20170525,1025.70,1025.70,1025.70,1025.70,10
RCGCOMB1120,20170526,1024.90,1024.90,1024.90,1024.90,40
RCGCOMB1120,20170530,1028.80,1028.80,1028.80,1028.80,75
RCGCOMB1120,20170601,1030.40,1030.40,1030.40,1030.40,500
RCGCOMB1120,20170602,1030.30,1030.30,1030.30,1030.30,100
RCGCOMB1120,20170605,1029.00,1029.00,1029.00,1029.00,109
RCGCOMB1120,20170606,1029.50,1029.50,1029.50,1029.50,80
RCGCOMB1120,20170607,1030.00,1030.00,1030.00,1030.00,48
RCGCOMB1120,20170608,1026.00,1026.00,1025.90,1025.90,30
RCGCOMB1120,20170609,1028.90,1028.90,1028.90,1028.90,10
RCGCOMB1120,20170612,1035.10,1035.10,1035.10,1035.10,392
RCGCOMB1120,20170613,1034.60,1034.60,1034.60,1034.60,20
RCGCOMB1120,20170614,1034.00,1034.10,1034.00,1034.00,181
RCGCOMB1120,20170619,1037.00,1037.00,1037.00,1037.00,31
RCGCOMB1120,20170620,1035.50,1035.50,1035.50,1035.50,250
RCGCOMB1120,20170621,1035.70,1036.40,1035.70,1036.40,75
RCGCOMB1120,20170623,1037.30,1037.60,1037.30,1037.60,60
RCGCOMB1120,20170628,1037.70,1038.00,1037.70,1038.00,109
RCGCOMB1120,20170629,1033.00,1036.10,1033.00,1036.10,98
RCGCOMB1120,20170703,1038.20,1038.20,1038.20,1038.20,89
RCGCOMB1120,20170704,1042.60,1042.60,1042.60,1042.60,100
RCGCOMB1120,20170705,1042.60,1042.60,1041.70,1041.70,201
RCGCOMB1120,20170707,1036.60,1036.60,1036.60,1036.60,301
RCGCOMB1120,20170710,1035.00,1035.00,1034.80,1035.00,211
RCGCOMB1120,20170712,1046.10,1046.10,1045.60,1045.60,180
RCGCOMB1120,20170714,1042.00,1049.10,1042.00,1048.70,175
RCGCOMB1120,20170717,1051.40,1051.40,1051.20,1051.40,430
RCGCOMB1120,20170718,1052.10,1053.10,1052.10,1053.10,138
RCGCOMB1120,20170719,1054.10,1054.30,1054.10,1054.20,616
RCGCOMB1120,20170720,1055.00,1055.70,1055.00,1055.70,150
RCGCOMB1120,20170721,1054.10,1054.10,1053.50,1053.50,281
