Name,Date,Open,High,Low,Close,Volume
RCGEEM0520,20170210,989.30,989.30,989.30,989.30,24
RCGEEM0520,20170215,987.30,987.30,987.30,987.30,58
RCGEEM0520,20170317,992.00,992.00,992.00,992.00,384
RCGEEM0520,20170329,995.60,995.60,995.60,995.60,69
RCGEEM0520,20170405,997.60,997.60,997.60,997.60,89
RCGEEM0520,20170410,1014.60,1014.60,1014.60,1014.60,3
RCGEEM0520,20170419,996.60,996.60,996.60,996.60,101
RCGEEM0520,20170420,996.90,996.90,996.90,996.90,26
RCGEEM0520,20170424,992.30,992.30,992.30,992.30,19
RCGEEM0520,20170426,993.30,993.30,993.30,993.30,18
RCGEEM0520,20170509,993.90,993.90,993.90,993.90,60
RCGEEM0520,20170512,995.60,995.60,995.60,995.60,53
RCGEEM0520,20170620,991.50,991.50,991.50,991.50,100
RCGEEM0520,20170622,991.20,991.20,991.20,991.20,40
