Name,Date,Open,High,Low,Close,Volume
RCGGLD11019,20161021,990.40,990.40,990.40,990.40,125
RCGGLD11019,20161027,988.90,988.90,988.90,988.90,72
RCGGLD11019,20161031,986.20,986.20,986.20,986.20,16
RCGGLD11019,20161208,976.90,976.90,976.90,976.90,60
RCGGLD11019,20170112,976.40,976.40,976.40,976.40,100
RCGGLD11019,20170124,973.60,973.60,973.60,973.60,21
RCGGLD11019,20170216,978.40,978.40,978.40,978.40,10
RCGGLD11019,20170301,980.00,980.00,980.00,980.00,10
RCGGLD11019,20170303,977.40,977.40,977.40,977.40,8
RCGGLD11019,20170321,979.00,979.00,979.00,979.00,10
RCGGLD11019,20170406,986.60,986.60,986.60,986.60,25
RCGGLD11019,20170412,987.60,987.60,987.60,987.60,20
RCGGLD11019,20170428,983.10,983.90,983.10,983.90,115
RCGGLD11019,20170508,981.50,981.50,981.50,981.50,15
RCGGLD11019,20170509,972.60,972.60,972.60,972.60,31
RCGGLD11019,20170512,978.50,978.50,978.50,978.50,50
RCGGLD11019,20170606,985.80,985.80,985.80,985.80,154
RCGGLD11019,20170619,977.10,977.10,977.10,977.10,40
RCGGLD11019,20170627,977.80,977.80,977.80,977.80,31
