Name,Date,Open,High,Low,Close,Volume
RCGNS020620,20161212,997.70,997.70,997.70,997.70,101
RCGNS020620,20161220,998.50,998.50,998.50,998.50,20
RCGNS020620,20170104,1004.10,1004.10,1004.10,1004.10,1
RCGNS020620,20170109,984.00,984.00,984.00,984.00,6
RCGNS020620,20170117,985.20,985.20,985.20,985.20,38
RCGNS020620,20170210,987.20,987.20,987.20,987.20,11
RCGNS020620,20170228,986.90,986.90,986.90,986.90,20
RCGNS020620,20170309,989.20,989.20,989.20,989.20,51
RCGNS020620,20170328,994.70,994.70,994.70,994.70,98
RCGNS020620,20170412,998.20,998.20,998.20,998.20,100
RCGNS020620,20170420,998.20,998.20,998.20,998.20,50
RCGNS020620,20170510,997.60,997.60,997.60,997.60,59
RCGNS020620,20170512,998.00,998.00,998.00,998.00,59
RCGNS020620,20170522,997.90,997.90,997.90,997.90,50
RCGNS020620,20170608,993.90,993.90,993.90,993.90,160
RCGNS020620,20170613,995.50,995.50,995.50,995.50,16
