Name,Date,Open,High,Low,Close,Volume
RCGSD3E0822,20160817,991.30,991.30,991.30,991.30,20
RCGSD3E0822,20160819,992.70,992.70,992.70,992.70,54
RCGSD3E0822,20161024,984.20,984.20,984.20,984.20,75
RCGSD3E0822,20161128,971.70,971.70,971.70,971.70,118
RCGSD3E0822,20170111,969.00,969.00,969.00,969.00,50
RCGSD3E0822,20170120,968.10,968.10,968.10,968.10,40
RCGSD3E0822,20170210,968.30,968.30,968.30,968.30,135
RCGSD3E0822,20170224,986.80,986.80,986.80,986.80,1
RCGSD3E0822,20170315,966.90,966.90,966.90,966.90,4
RCGSD3E0822,20170329,979.50,979.50,979.50,979.50,11
RCGSD3E0822,20170424,982.10,982.10,982.10,982.10,15
RCGSD3E0822,20170522,981.40,981.40,981.40,981.40,70
RCGSD3E0822,20170529,982.90,982.90,982.90,982.90,30
RCGSD3E0822,20170602,985.60,985.60,985.60,985.60,28
RCGSD3E0822,20170605,987.70,987.70,987.70,987.70,60
RCGSD3E0822,20170622,985.20,985.20,985.20,985.20,70
RCGSD3E0822,20170623,986.20,986.20,986.20,986.20,103
RCGSD3E0822,20170627,984.00,984.00,984.00,984.00,204
RCGSD3E0822,20170706,979.80,979.80,979.80,979.80,13
