Name,Date,Open,High,Low,Close,Volume
RCSDGP0717,20130916,966.71,966.71,966.71,966.71,25
RCSDGP0717,20131112,953.18,953.18,953.18,953.18,7
RCSDGP0717,20131114,933.27,933.27,933.27,933.27,134
RCSDGP0717,20131119,935.67,935.67,935.67,935.67,188
RCSDGP0717,20131213,905.68,905.68,905.68,905.68,4
RCSDGP0717,20131216,903.36,903.36,903.36,903.36,20
RCSDGP0717,20131230,925.10,925.10,925.10,925.10,215
RCSDGP0717,20140124,922.18,922.18,922.18,922.18,11
RCSDGP0717,20140206,928.77,928.77,928.77,928.77,4
RCSDGP0717,20140207,913.06,913.06,913.06,913.06,30
RCSDGP0717,20140211,934.03,934.03,934.03,934.03,1
RCSDGP0717,20140303,925.71,925.71,925.71,925.71,5
RCSDGP0717,20140319,925.62,925.62,925.62,925.62,11
RCSDGP0717,20140407,943.91,943.91,943.91,943.91,80
RCSDGP0717,20140422,950.03,950.03,950.03,950.03,6
RCSDGP0717,20140505,955.52,955.52,955.52,955.52,5
RCSDGP0717,20140508,955.58,955.58,955.58,955.58,40
RCSDGP0717,20140509,963.70,963.70,963.70,963.70,34
RCSDGP0717,20140520,979.85,979.85,979.85,979.85,67
RCSDGP0717,20140523,986.47,986.47,986.47,986.47,100
RCSDGP0717,20140602,997.54,997.54,997.54,997.54,30
RCSDGP0717,20140606,1006.06,1006.06,1006.06,1006.06,10
RCSDGP0717,20140612,1004.66,1004.66,1004.66,1004.66,42
RCSDGP0717,20140620,1010.67,1011.40,1010.67,1011.40,101
RCSDGP0717,20140625,1008.09,1008.09,1008.09,1008.09,10
RCSDGP0717,20140626,1014.01,1015.13,1014.01,1015.13,1000
RCSDGP0717,20140702,1017.09,1017.09,1017.09,1017.09,20
RCSDGP0717,20140716,1004.05,1004.05,1004.05,1004.05,9
RCSDGP0717,20140717,1016.71,1016.71,1015.65,1015.65,300
RCSDGP0717,20140723,1020.84,1020.84,1020.84,1020.84,10
RCSDGP0717,20140724,1025.53,1025.53,1025.53,1025.53,130
RCSDGP0717,20140728,1026.03,1026.03,1026.03,1026.03,85
RCSDGP0717,20140729,1024.08,1024.08,1024.08,1024.08,10
RCSDGP0717,20140801,1008.34,1008.34,1008.34,1008.34,3
RCSDGP0717,20140805,1010.15,1010.15,1010.15,1010.15,13
RCSDGP0717,20140818,1018.75,1018.75,1018.04,1018.04,203
RCSDGP0717,20140825,1030.63,1030.63,1030.63,1030.63,200
RCSDGP0717,20140827,1039.07,1039.07,1039.07,1039.07,15
RCSDGP0717,20140829,1038.54,1038.54,1038.54,1038.54,10
RCSDGP0717,20140901,1040.79,1040.79,1040.79,1040.79,5
RCSDGP0717,20140902,1043.59,1043.59,1043.59,1043.59,100
RCSDGP0717,20140904,1046.85,1046.85,1046.85,1046.85,50
RCSDGP0717,20140911,1038.32,1038.32,1038.32,1038.32,70
RCSDGP0717,20140916,1027.91,1027.91,1027.91,1027.91,20
RCSDGP0717,20140924,1029.18,1029.18,1029.18,1029.18,20
RCSDGP0717,20140930,1037.02,1037.02,1037.02,1037.02,30
RCSDGP0717,20141015,1030.03,1030.03,1029.05,1029.05,310
RCSDGP0717,20141022,1031.82,1031.82,1031.82,1031.82,56
RCSDGP0717,20141023,1034.92,1034.92,1034.92,1034.92,40
RCSDGP0717,20141028,1037.90,1037.90,1037.90,1037.90,49
RCSDGP0717,20141103,1058.95,1058.95,1057.53,1057.53,76
RCSDGP0717,20141105,1057.00,1057.00,1057.00,1057.00,5
RCSDGP0717,20141112,1056.64,1056.64,1055.92,1055.92,50
RCSDGP0717,20141113,1056.67,1058.11,1056.67,1057.12,283
RCSDGP0717,20141114,1054.45,1054.70,1054.45,1054.70,107
RCSDGP0717,20141120,1045.91,1045.91,1045.91,1045.91,50
RCSDGP0717,20141121,1055.14,1059.64,1055.14,1059.64,192
RCSDGP0717,20141126,1063.23,1063.23,1063.23,1063.23,60
RCSDGP0717,20141127,1063.23,1063.23,1063.23,1063.23,10
RCSDGP0717,20141202,1058.88,1058.88,1058.88,1058.88,47
RCSDGP0717,20141203,1064.10,1064.10,1064.10,1064.10,50
RCSDGP0717,20141210,1053.40,1053.50,1053.40,1053.50,70
RCSDGP0717,20141211,1045.48,1045.88,1045.48,1045.88,30
RCSDGP0717,20141215,1042.57,1042.57,1042.57,1042.57,40
RCSDGP0717,20150105,1082.58,1082.58,1082.58,1082.58,15
RCSDGP0717,20150108,1090.31,1090.31,1089.58,1089.58,100
RCSDGP0717,20150112,1087.70,1087.70,1087.69,1087.69,65
RCSDGP0717,20150113,1091.05,1094.76,1091.05,1094.76,375
RCSDGP0717,20150114,1091.79,1091.79,1091.79,1091.79,20
RCSDGP0717,20150115,1096.47,1096.53,1095.39,1095.39,160
RCSDGP0717,20150116,1112.22,1117.73,1112.22,1117.73,589
RCSDGP0717,20150119,1121.23,1121.23,1116.32,1116.32,857
RCSDGP0717,20150120,1115.20,1127.03,1115.20,1124.12,867
RCSDGP0717,20150121,1128.60,1128.60,1113.82,1116.12,454
RCSDGP0717,20150122,1111.26,1129.23,1111.26,1129.13,831
RCSDGP0717,20150123,1149.03,1153.41,1148.50,1148.90,668
RCSDGP0717,20150126,1142.53,1144.83,1142.53,1144.83,140
RCSDGP0717,20150127,1148.22,1148.22,1137.98,1137.98,1210
RCSDGP0717,20150128,1136.76,1140.36,1136.76,1140.36,150
RCSDGP0717,20150129,1124.37,1124.37,1120.01,1120.01,227
RCSDGP0717,20150130,1121.23,1121.23,1117.06,1117.06,170
