Name,Date,Open,High,Low,Close,Volume
RCTLCOCO01,20170301,11.95,11.95,11.95,11.95,50
RCTLCOCO01,20170302,11.48,11.48,10.95,10.95,125
RCTLCOCO01,20170308,11.88,11.88,11.88,11.88,50
RCTLCOCO01,20170309,11.90,11.90,11.55,11.55,125
RCTLCOCO01,20170314,16.93,17.82,16.91,17.54,1100
RCTLCOCO01,20170315,18.83,18.83,17.65,17.65,150
RCTLCOCO01,20170316,17.58,18.06,16.94,16.94,110
RCTLCOCO01,20170317,16.63,16.85,15.95,15.95,1210
RCTLCOCO01,20170320,15.98,15.98,15.98,15.98,100
RCTLCOCO01,20170321,21.20,22.33,20.98,21.79,1330
RCTLCOCO01,20170322,20.48,21.12,20.48,21.12,50
RCTLCOCO01,20170323,21.49,21.49,21.49,21.49,30
RCTLCOCO01,20170324,20.95,20.95,20.71,20.71,70
RCTLCOCO01,20170327,20.44,20.44,20.34,20.34,60
RCTLCOCO01,20170328,21.13,21.13,20.06,20.06,140
RCTLCOCO01,20170329,20.33,20.33,19.15,19.15,110
RCTLCOCO01,20170330,18.66,18.66,17.77,17.77,490
RCTLCOCO01,20170403,18.33,18.33,17.80,17.85,560
RCTLCOCO01,20170405,19.21,19.21,19.21,19.21,40
RCTLCOCO01,20170407,18.86,18.86,15.20,15.45,800
RCTLCOCO01,20170410,13.74,13.74,13.74,13.74,20
RCTLCOCO01,20170420,8.00,8.00,8.00,8.00,300
RCTLCOCO01,20170421,9.44,9.44,9.44,9.44,30
RCTLCOCO01,20170424,9.84,9.84,9.84,9.84,50
RCTLCOCO01,20170425,7.50,7.50,7.50,7.50,6000
RCTLCOCO01,20170426,10.08,10.08,9.98,9.98,3530
RCTLCOCO01,20170427,9.49,9.49,9.49,9.49,100
RCTLCOCO01,20170502,8.49,8.49,8.49,8.49,150
RCTLCOCO01,20170504,6.43,7.45,6.43,7.45,18500
RCTLCOCO01,20170505,9.51,9.65,9.51,9.65,2500
RCTLCOCO01,20170508,10.40,13.20,10.40,13.20,7720
RCTLCOCO01,20170509,13.23,13.23,12.46,12.46,316
RCTLCOCO01,20170511,13.15,13.15,13.15,13.15,1
RCTLCOCO01,20170512,14.34,15.14,14.34,15.14,2067
RCTLCOCO01,20170515,16.93,16.93,16.93,16.93,20
RCTLCOCO01,20170516,14.25,14.25,14.25,14.25,100
RCTLCOCO01,20170522,15.43,15.43,15.43,15.43,117
RCTLCOCO01,20170530,14.22,14.22,14.22,14.22,40
RCTLCOCO01,20170606,13.68,13.68,13.68,13.68,85
RCTLCOCO01,20170622,7.87,7.87,6.59,6.59,1200
RCTLCOCO01,20170623,8.32,8.32,8.32,8.32,17
RCTLCOCO01,20170627,9.07,9.07,9.07,9.07,4620
RCTLCOCO01,20170630,11.00,11.00,11.00,11.00,200
RCTLCOCO01,20170707,9.25,9.25,9.25,9.25,55
RCTLCOCO01,20170711,6.35,6.35,6.13,6.13,15000
RCTLCOCO01,20170712,6.71,6.71,6.40,6.40,8000
RCTLCOCO01,20170713,7.21,8.39,7.21,7.61,10140
RCTLCOCO01,20170714,8.94,10.11,8.94,10.11,7000
RCTLCOCO01,20170719,11.01,11.01,11.01,11.01,200
