Name,Date,Open,High,Low,Close,Volume
RCTLGOLD09,20170130,5.35,5.35,5.35,5.35,4000
RCTLGOLD09,20170215,6.62,6.62,6.62,6.62,700
RCTLGOLD09,20170220,7.00,7.00,7.00,7.00,200
RCTLGOLD09,20170221,6.89,6.94,6.89,6.91,4500
RCTLGOLD09,20170223,7.43,7.43,7.43,7.43,10
RCTLGOLD09,20170224,7.69,7.69,7.69,7.69,10
RCTLGOLD09,20170303,6.67,6.67,6.67,6.67,20
RCTLGOLD09,20170306,6.77,6.77,6.77,6.77,6
RCTLGOLD09,20170308,6.00,6.00,6.00,6.00,46
RCTLGOLD09,20170330,7.17,7.17,7.17,7.17,200
RCTLGOLD09,20170403,7.07,7.07,7.07,7.07,4500
RCTLGOLD09,20170411,7.51,7.51,7.50,7.50,31
RCTLGOLD09,20170412,8.21,8.21,8.21,8.21,9
RCTLGOLD09,20170413,8.62,8.62,8.62,8.62,5
RCTLGOLD09,20170421,8.49,8.49,8.49,8.49,700
RCTLGOLD09,20170502,7.03,7.03,7.03,7.03,9
RCTLGOLD09,20170508,6.07,6.20,6.07,6.20,54
RCTLGOLD09,20170512,6.03,6.03,6.00,6.00,25
RCTLGOLD09,20170515,6.01,6.01,6.01,6.01,5
RCTLGOLD09,20170519,6.65,6.65,6.65,6.65,8
RCTLGOLD09,20170608,7.40,7.40,7.40,7.40,4000
