Name,Date,Open,High,Low,Close,Volume
RCTLPEO001,20120425,3.18,3.18,3.18,3.18,2000
RCTLPEO001,20120426,2.70,2.70,2.70,2.70,2000
RCTLPEO001,20120518,2.17,2.17,2.17,2.17,225
RCTLPEO001,20120531,2.36,2.36,2.36,2.36,225
RCTLPEO001,20120606,1.83,2.30,1.83,2.30,4100
RCTLPEO001,20120608,2.10,2.63,2.10,2.63,4100
RCTLPEO001,20120612,2.80,2.80,2.80,2.80,2000
RCTLPEO001,20120615,3.01,3.01,3.01,3.01,2500
RCTLPEO001,20120619,3.47,3.47,3.47,3.47,100
RCTLPEO001,20120620,3.66,3.66,3.66,3.66,60
RCTLPEO001,20120621,3.27,3.28,3.27,3.28,2610
RCTLPEO001,20120626,3.43,3.43,3.43,3.43,10
RCTLPEO001,20120627,3.86,3.86,3.86,3.86,60
RCTLPEO001,20120726,2.63,2.63,2.63,2.63,30000
RCTLPEO001,20120727,2.39,2.39,2.39,2.39,30000
RCTLPEO001,20120903,5.00,5.00,5.00,5.00,5
RCTLPEO001,20120906,4.21,4.21,4.21,4.21,1200
RCTLPEO001,20120928,4.71,4.71,4.71,4.71,1000
RCTLPEO001,20121003,4.36,4.36,4.36,4.36,1000
RCTLPEO001,20121012,4.10,4.10,4.10,4.10,1200
RCTLPEO001,20121026,4.00,4.00,4.00,4.00,1246
RCTLPEO001,20121029,3.81,3.81,3.81,3.81,500
RCTLPEO001,20121031,4.13,4.13,4.13,4.13,246
RCTLPEO001,20121105,3.87,3.87,3.87,3.87,992
RCTLPEO001,20121203,4.51,4.51,4.51,4.51,663
RCTLPEO001,20121205,5.00,5.00,5.00,5.00,395
RCTLPEO001,20121219,4.64,4.64,4.64,4.64,1058
RCTLPEO001,20121220,5.13,5.46,5.13,5.42,22097
RCTLPEO001,20121221,5.09,5.14,5.09,5.14,1653
RCTLPEO001,20121227,5.60,5.60,5.60,5.60,200
RCTLPEO001,20121228,5.23,5.23,5.23,5.23,1000
RCTLPEO001,20130102,5.40,5.40,5.40,5.40,10000
RCTLPEO001,20130103,5.23,5.23,5.23,5.23,12750
RCTLPEO001,20130104,5.22,5.22,5.22,5.22,200
RCTLPEO001,20130110,5.14,5.14,5.14,5.14,400
RCTLPEO001,20130114,5.23,5.23,5.23,5.23,400
RCTLPEO001,20130123,4.96,4.96,4.96,4.96,5
RCTLPEO001,20130131,3.83,3.83,3.83,3.83,100
RCTLPEO001,20130206,4.18,4.18,4.18,4.18,100
RCTLPEO001,20130405,3.58,3.58,3.58,3.58,800
RCTLPEO001,20130506,3.24,3.24,3.24,3.24,100
RCTLPEO001,20130521,4.14,4.14,4.14,4.14,100
RCTLPEO001,20130606,4.61,4.61,4.61,4.61,800
RCTLPEO001,20130626,3.20,3.20,3.20,3.20,100
RCTLPEO001,20130627,3.42,3.42,3.42,3.42,100
RCTLPEO001,20130705,3.42,3.42,3.09,3.15,1970
RCTLPEO001,20130708,2.97,3.06,2.97,3.06,1100
RCTLPEO001,20130709,2.68,2.68,2.68,2.68,1070
RCTLPEO001,20130710,3.07,3.07,3.07,3.07,2000
RCTLPEO001,20130905,4.75,4.75,4.75,4.75,12
RCTLPEO001,20130910,5.50,5.50,5.50,5.50,12
RCTLPEO001,20160721,2.30,2.30,2.30,2.30,1000
RCTLPEO001,20160805,1.87,1.87,1.87,1.87,4695
RCTLPEO001,20160810,2.48,2.48,2.48,2.48,1000
RCTLPEO001,20160831,2.45,2.45,2.45,2.45,1000
RCTLPEO001,20161010,2.32,2.32,2.32,2.32,3660
RCTLPEO001,20161209,1.37,1.37,1.37,1.37,3638
RCTLPEO001,20170125,2.77,2.77,2.77,2.77,638
RCTLPEO001,20170127,2.63,2.65,2.63,2.65,8355
RCTLPEO001,20170209,3.05,3.05,3.05,3.05,1000
RCTLPEO001,20170302,3.49,3.49,3.49,3.49,1000
RCTLPEO001,20170309,2.55,2.56,2.55,2.56,13980
RCTLPEO001,20170313,2.86,2.86,2.86,2.86,5900
RCTLPEO001,20170320,2.96,2.96,2.96,2.96,8080
RCTLPEO001,20170323,2.60,2.60,2.60,2.60,7961
RCTLPEO001,20170421,2.34,2.34,2.34,2.34,7888
RCTLPEO001,20170525,3.07,3.09,3.07,3.09,15849
RCTLPEO001,20170622,1.90,1.90,1.90,1.90,30148
RCTLPEO001,20170627,2.33,2.33,2.33,2.33,20000
