Name,Date,Open,High,Low,Close,Volume
RCWHTAOPEN1,20170112,17.35,17.35,17.35,17.35,574
RCWHTAOPEN1,20170119,17.75,17.75,17.75,17.75,120
RCWHTAOPEN1,20170120,17.54,17.54,17.54,17.54,130
RCWHTAOPEN1,20170125,17.45,17.45,17.45,17.45,150
RCWHTAOPEN1,20170130,17.19,17.19,17.19,17.19,300
RCWHTAOPEN1,20170131,16.81,16.81,16.81,16.81,450
RCWHTAOPEN1,20170222,18.17,18.17,18.17,18.17,100
RCWHTAOPEN1,20170314,17.17,17.17,17.17,17.17,175
RCWHTAOPEN1,20170315,17.38,17.38,17.38,17.38,230
RCWHTAOPEN1,20170323,16.41,16.41,16.41,16.41,96
RCWHTAOPEN1,20170329,16.44,16.44,16.35,16.35,200
RCWHTAOPEN1,20170421,15.62,15.62,15.62,15.62,230
RCWHTAOPEN1,20170425,15.35,15.35,15.35,15.35,40
RCWHTAOPEN1,20170703,18.21,18.21,18.21,18.21,1250
RCWHTAOPEN1,20170705,18.98,18.98,18.98,18.98,200
RCWHTAOPEN1,20170712,18.50,18.50,18.50,18.50,35
RCWHTAOPEN1,20170719,16.92,16.92,16.92,16.92,20
