Name,Date,Open,High,Low,Close,Volume
TXM,20170202,5.70,5.70,5.65,5.65,1043
TXM,20170203,5.67,5.67,5.47,5.65,35909
TXM,20170206,5.65,5.65,5.55,5.55,105
TXM,20170207,5.66,5.66,5.56,5.64,522
TXM,20170208,5.62,5.62,5.46,5.46,9038
TXM,20170209,5.64,5.64,5.43,5.55,368
TXM,20170210,5.44,5.63,5.44,5.63,14
TXM,20170213,5.65,5.65,5.39,5.39,10705
TXM,20170214,5.49,5.50,5.35,5.50,1239
TXM,20170215,5.50,5.67,5.50,5.67,12061
TXM,20170216,5.66,5.66,5.37,5.60,3802
TXM,20170217,5.60,5.65,5.55,5.55,1022
TXM,20170220,5.63,5.65,5.51,5.64,4728
TXM,20170221,5.64,5.69,5.64,5.69,3040
TXM,20170222,5.70,5.70,5.69,5.69,140
TXM,20170223,5.69,5.69,5.45,5.69,872
TXM,20170224,5.69,5.69,5.69,5.69,1
TXM,20170227,5.70,5.70,5.70,5.70,2
TXM,20170228,5.69,5.69,5.69,5.69,2
TXM,20170301,5.70,5.70,5.50,5.50,3764
TXM,20170302,5.60,5.60,5.40,5.60,897
TXM,20170303,5.60,5.69,5.40,5.69,355
TXM,20170306,5.65,5.65,5.36,5.60,1700
TXM,20170307,5.60,5.60,5.30,5.50,7530
TXM,20170308,5.50,5.50,5.50,5.50,1
TXM,20170309,5.49,5.49,5.49,5.49,380
TXM,20170310,5.57,5.57,5.56,5.56,1615
TXM,20170313,5.22,5.50,5.22,5.40,947
TXM,20170314,5.50,5.50,5.36,5.36,923
TXM,20170315,5.40,5.91,5.40,5.83,9399
TXM,20170316,5.83,5.83,5.68,5.79,11992
TXM,20170317,5.79,5.79,5.35,5.75,9032
TXM,20170320,5.72,5.72,5.63,5.69,5417
TXM,20170321,5.69,5.69,5.54,5.55,4028
TXM,20170322,5.55,5.55,5.40,5.55,2242
TXM,20170323,5.55,5.55,5.51,5.51,680
TXM,20170324,5.52,5.55,5.42,5.50,85795
TXM,20170327,5.50,5.50,5.42,5.50,1473
TXM,20170328,5.50,5.50,5.50,5.50,1430
TXM,20170329,5.50,5.56,5.40,5.56,12062
TXM,20170330,5.60,5.60,5.40,5.59,3394
TXM,20170331,5.59,5.59,5.33,5.35,6408
TXM,20170403,5.40,5.40,5.40,5.40,251
TXM,20170404,5.40,5.40,5.31,5.40,5026
TXM,20170405,5.40,5.40,5.40,5.40,7
TXM,20170406,5.40,5.55,5.40,5.48,1132
TXM,20170407,5.48,5.48,4.95,5.25,4723
TXM,20170410,5.29,5.29,5.15,5.28,1024
TXM,20170411,5.29,5.29,5.15,5.16,522
TXM,20170412,5.25,5.25,5.16,5.25,449
TXM,20170413,5.25,5.25,5.16,5.25,136
TXM,20170418,5.25,5.25,5.05,5.05,3982
TXM,20170419,5.11,5.11,5.06,5.11,48
TXM,20170420,5.11,5.11,5.05,5.11,1832
TXM,20170421,5.03,5.03,4.84,4.95,12894
TXM,20170424,5.11,5.11,4.91,5.05,450
TXM,20170425,5.05,5.05,4.91,5.00,184
TXM,20170426,5.00,5.05,5.00,5.05,6
TXM,20170427,5.05,5.11,4.91,5.11,20387
TXM,20170428,5.10,5.10,4.91,5.10,125
TXM,20170502,4.87,5.00,4.87,5.00,285
TXM,20170504,5.00,5.05,5.00,5.05,3
TXM,20170505,5.05,5.05,4.90,5.05,2540
TXM,20170508,5.05,5.05,5.05,5.05,1
TXM,20170509,5.05,5.05,5.00,5.05,302
TXM,20170510,4.88,5.04,4.76,5.00,2521
TXM,20170511,4.99,5.00,4.99,5.00,742
TXM,20170512,5.00,5.00,5.00,5.00,2
TXM,20170515,5.05,5.05,5.05,5.05,1
TXM,20170516,5.08,5.09,5.08,5.09,1210
TXM,20170517,5.08,5.08,4.88,5.05,1825
TXM,20170518,5.05,5.05,4.83,5.05,1007
TXM,20170519,5.05,5.05,4.76,4.81,4108
TXM,20170522,4.88,4.88,4.46,4.46,2
TXM,20170523,4.46,4.86,4.46,4.79,402
TXM,20170524,4.79,4.79,4.01,4.35,38131
TXM,20170525,4.70,4.70,4.60,4.60,105
TXM,20170526,4.60,4.60,4.60,4.60,1
TXM,20170529,4.12,4.53,4.12,4.15,1501
TXM,20170530,4.15,4.15,3.99,4.05,17361
TXM,20170531,4.13,4.29,4.13,4.29,530
TXM,20170601,4.28,4.28,4.00,4.09,20805
TXM,20170602,4.10,4.10,4.10,4.10,1
TXM,20170605,4.05,4.05,4.05,4.05,1
TXM,20170606,3.71,4.00,3.71,4.00,525
TXM,20170607,4.00,4.00,4.00,4.00,13
TXM,20170608,4.00,4.00,4.00,4.00,22
TXM,20170609,3.81,4.00,3.81,3.82,605
TXM,20170612,3.81,3.96,3.80,3.96,12994
TXM,20170613,4.27,4.27,3.90,4.05,5785
TXM,20170614,4.05,4.10,4.03,4.03,328
TXM,20170616,4.10,4.30,3.91,4.00,18504
TXM,20170619,4.28,4.28,4.00,4.00,15206
TXM,20170620,3.94,4.00,3.90,4.00,587
TXM,20170621,4.24,4.24,3.90,4.00,681
TXM,20170622,4.00,4.00,4.00,4.00,620
TXM,20170623,4.19,4.19,3.81,4.18,587
TXM,20170626,4.17,4.17,4.17,4.17,432
TXM,20170627,4.16,4.16,4.00,4.00,6616
TXM,20170628,4.00,4.14,4.00,4.14,10205
TXM,20170629,4.12,4.12,4.11,4.11,2406
TXM,20170703,4.10,4.10,4.10,4.10,31
TXM,20170704,4.00,4.00,4.00,4.00,250
TXM,20170705,4.00,4.00,3.85,3.85,1300
TXM,20170706,4.00,4.00,3.85,3.85,43357
TXM,20170707,3.84,3.84,3.84,3.84,317
TXM,20170710,3.80,3.80,3.70,3.70,41545
TXM,20170711,3.50,3.50,3.50,3.50,35086
TXM,20170712,3.50,3.50,3.40,3.40,4427
TXM,20170713,3.40,3.40,3.40,3.40,23658
TXM,20170714,3.40,3.40,3.40,3.40,4342
TXM,20170717,3.40,3.40,3.40,3.40,97
TXM,20170718,3.50,3.50,3.50,3.50,550
TXM,20170719,3.50,3.50,3.50,3.50,300
TXM,20170720,3.39,3.39,3.39,3.39,4288
TXM,20170721,3.39,3.39,3.39,3.39,2150
