Name,Date,Open,High,Low,Close,Volume
UCXUO30IOE,20121001,147.00,147.00,147.00,147.00,3
UCXUO30IOE,20121214,169.86,169.86,169.86,169.86,15
UCXUO30IOE,20121228,170.51,170.51,170.51,170.51,11
UCXUO30IOE,20130103,173.77,173.77,173.77,173.77,15
UCXUO30IOE,20130201,172.46,172.46,172.46,172.46,6
UCXUO30IOE,20130212,169.39,169.39,169.39,169.39,5
UCXUO30IOE,20130225,166.00,166.00,166.00,166.00,4
UCXUO30IOE,20130605,170.51,170.51,170.51,170.51,5
UCXUO30IOE,20130610,161.52,161.52,161.52,161.52,6
UCXUO30IOE,20130614,165.17,165.17,165.17,165.17,100
UCXUO30IOE,20130805,148.48,148.48,148.48,148.48,14
UCXUO30IOE,20130827,128.42,128.42,128.42,128.42,100
UCXUO30IOE,20130828,123.40,123.40,123.40,123.40,500
UCXUO30IOE,20130829,128.65,128.65,128.65,128.65,500
UCXUO30IOE,20130830,128.89,128.89,128.89,128.89,10
UCXUO30IOE,20130918,145.40,145.40,145.40,145.40,10
UCXUO30IOE,20140102,113.44,113.44,113.44,113.44,442
UCXUO30IOE,20140103,114.57,114.57,114.57,114.57,101
UCXUO30IOE,20140107,116.50,116.50,116.50,116.50,442
UCXUO30IOE,20140114,114.82,114.82,114.82,114.82,435
UCXUO30IOE,20140115,116.00,116.00,116.00,116.00,431
UCXUO30IOE,20140116,114.57,114.57,114.57,114.57,244
UCXUO30IOE,20140117,113.75,113.75,112.03,112.03,511
UCXUO30IOE,20140130,102.95,103.51,102.95,103.51,87
UCXUO30IOE,20140207,108.13,108.13,108.13,108.13,15
UCXUO30IOE,20140210,107.76,107.76,107.76,107.76,277
UCXUO30IOE,20140211,109.50,109.50,109.50,109.50,500
UCXUO30IOE,20140212,109.71,109.71,109.71,109.71,277
UCXUO30IOE,20140220,106.49,106.49,106.49,106.49,10
UCXUO30IOE,20140319,108.64,108.73,107.96,107.96,500
UCXUO30IOE,20140327,115.62,115.62,115.50,115.50,445
UCXUO30IOE,20140331,119.10,119.88,118.82,118.87,1182
UCXUO30IOE,20140401,122.28,122.28,122.28,122.28,66
UCXUO30IOE,20140414,126.06,126.06,126.06,126.06,10
UCXUO30IOE,20140606,142.49,142.49,142.49,142.49,18
UCXUO30IOE,20141021,139.03,139.03,139.03,139.03,101
UCXUO30IOE,20160322,133.42,133.42,133.42,133.42,14
