Name,Date,Open,High,Low,Close,Volume
WIG-GORNIC,20170102,3521.23,3521.23,3455.28,3474.14,0.000
WIG-GORNIC,20170103,3508.66,3551.38,3451.32,3478.19,0.000
WIG-GORNIC,20170104,3491.80,3572.87,3474.45,3564.93,0.000
WIG-GORNIC,20170105,3577.36,3589.91,3541.35,3558.71,0.000
WIG-GORNIC,20170109,3553.46,3601.25,3535.05,3601.25,0.000
WIG-GORNIC,20170110,3639.70,3767.53,3639.70,3751.32,0.000
WIG-GORNIC,20170111,3774.71,3932.74,3774.71,3932.74,0.000
WIG-GORNIC,20170112,3948.60,4036.24,3948.60,3987.90,0.000
WIG-GORNIC,20170113,3992.14,4026.86,3934.26,4013.18,0.000
WIG-GORNIC,20170116,4032.62,4099.68,4017.29,4037.13,0.000
WIG-GORNIC,20170117,3980.33,4013.00,3950.55,3991.12,0.000
WIG-GORNIC,20170118,3976.84,4138.54,3972.21,4099.84,0.000
WIG-GORNIC,20170119,4119.56,4148.37,4064.44,4102.20,0.000
WIG-GORNIC,20170120,4090.66,4110.99,4046.23,4078.36,0.000
WIG-GORNIC,20170123,4095.93,4125.33,4063.24,4063.24,0.000
WIG-GORNIC,20170124,4078.70,4209.82,4067.02,4200.13,0.000
WIG-GORNIC,20170125,4264.15,4392.21,4264.15,4392.21,0.000
WIG-GORNIC,20170126,4458.26,4490.61,4374.59,4394.26,0.000
WIG-GORNIC,20170127,4341.23,4469.94,4314.08,4452.69,0.000
WIG-GORNIC,20170130,4461.40,4492.00,4350.14,4350.14,0.000
WIG-GORNIC,20170131,4357.86,4444.91,4323.59,4394.62,0.000
WIG-GORNIC,20170201,4469.26,4536.04,4469.26,4507.30,0.000
WIG-GORNIC,20170202,4503.46,4513.64,4428.54,4476.15,0.000
WIG-GORNIC,20170203,4423.25,4444.08,4401.30,4432.64,0.000
WIG-GORNIC,20170206,4434.51,4490.12,4414.46,4475.15,0.000
WIG-GORNIC,20170207,4443.90,4450.99,4407.97,4427.29,0.000
WIG-GORNIC,20170208,4484.26,4484.28,4418.58,4418.89,0.000
WIG-GORNIC,20170209,4452.48,4453.62,4393.41,4413.10,0.000
WIG-GORNIC,20170210,4470.41,4503.63,4399.85,4497.14,0.000
WIG-GORNIC,20170213,4612.37,4630.54,4569.83,4629.73,0.000
WIG-GORNIC,20170214,4636.82,4663.59,4582.35,4582.35,0.000
WIG-GORNIC,20170215,4505.43,4584.18,4497.43,4584.18,0.000
WIG-GORNIC,20170216,4583.22,4622.27,4546.98,4601.94,0.000
WIG-GORNIC,20170217,4587.74,4597.35,4538.06,4551.85,0.000
WIG-GORNIC,20170220,4581.44,4637.48,4581.44,4636.22,0.000
WIG-GORNIC,20170221,4623.79,4814.02,4623.79,4814.02,0.000
