Name,Date,Open,High,Low,Close,Volume
WIG-LEKI,20170102,5278.13,5278.13,5176.04,5216.32,0.000
WIG-LEKI,20170103,5254.27,5284.51,5245.03,5250.21,0.000
WIG-LEKI,20170104,5257.25,5277.79,5227.67,5239.52,0.000
WIG-LEKI,20170105,5259.10,5309.75,5245.97,5269.08,0.000
WIG-LEKI,20170109,5254.54,5280.26,5204.57,5280.26,0.000
WIG-LEKI,20170110,5251.04,5296.43,5245.21,5248.13,0.000
WIG-LEKI,20170111,5263.45,5283.11,5243.12,5260.54,0.000
WIG-LEKI,20170112,5240.86,5332.67,5224.98,5302.59,0.000
WIG-LEKI,20170113,5319.27,5321.47,5259.16,5288.28,0.000
WIG-LEKI,20170116,5264.52,5282.46,5218.53,5269.65,0.000
WIG-LEKI,20170117,5277.44,5277.44,5247.61,5273.41,0.000
WIG-LEKI,20170118,5269.11,5308.02,5266.33,5306.38,0.000
WIG-LEKI,20170119,5310.73,5385.03,5293.43,5361.47,0.000
WIG-LEKI,20170120,5365.08,5423.09,5334.64,5400.23,0.000
WIG-LEKI,20170123,5418.40,5492.97,5418.26,5471.40,0.000
WIG-LEKI,20170124,5488.39,5607.30,5488.39,5594.25,0.000
WIG-LEKI,20170125,5603.52,5710.35,5598.23,5655.73,0.000
WIG-LEKI,20170126,5677.63,5801.03,5588.30,5688.52,0.000
WIG-LEKI,20170127,5718.54,5753.49,5662.77,5737.87,0.000
WIG-LEKI,20170130,5751.51,5925.05,5751.51,5795.49,0.000
WIG-LEKI,20170131,5849.05,5869.70,5798.56,5856.80,0.000
WIG-LEKI,20170201,5884.71,5909.26,5818.68,5833.63,0.000
WIG-LEKI,20170202,5856.67,5856.68,5795.63,5827.92,0.000
WIG-LEKI,20170203,5826.87,5833.21,5674.32,5678.10,0.000
WIG-LEKI,20170206,5635.10,5691.79,5576.12,5614.91,0.000
WIG-LEKI,20170207,5621.58,5636.00,5533.64,5595.17,0.000
WIG-LEKI,20170208,5604.38,5663.74,5566.98,5623.47,0.000
WIG-LEKI,20170209,5658.99,5673.67,5528.43,5537.80,0.000
WIG-LEKI,20170210,5562.10,5565.33,5446.22,5490.01,0.000
WIG-LEKI,20170213,5504.44,5604.60,5480.71,5604.60,0.000
WIG-LEKI,20170214,5637.79,5653.63,5547.67,5650.41,0.000
WIG-LEKI,20170215,5646.05,5776.90,5645.38,5771.60,0.000
WIG-LEKI,20170216,5785.60,6011.21,5785.60,6011.21,0.000
WIG-LEKI,20170217,5998.88,6058.44,5924.72,5953.33,0.000
WIG-LEKI,20170220,5989.31,6049.11,5940.54,5966.17,0.000
WIG-LEKI,20170221,5962.37,6005.77,5848.99,5903.53,0.000
WIG-LEKI,20170222,5921.79,6002.44,5841.81,6002.44,0.000
WIG-LEKI,20170223,5998.46,6149.35,5939.56,6138.10,0.000
WIG-LEKI,20170224,6132.83,6132.83,5968.75,6057.03,0.000
WIG-LEKI,20170227,6079.57,6161.72,6012.11,6051.13,0.000
WIG-LEKI,20170228,6085.37,6108.96,5970.65,6049.59,0.000
WIG-LEKI,20170301,6067.82,6192.30,6009.66,6192.30,0.000
WIG-LEKI,20170302,6217.63,6242.81,6157.40,6186.41,0.000
WIG-LEKI,20170303,6167.16,6213.90,6092.90,6209.58,0.000
WIG-LEKI,20170306,6196.00,6208.07,6043.06,6128.60,0.000
WIG-LEKI,20170307,6014.88,6065.22,5898.14,5997.95,0.000
WIG-LEKI,20170308,5899.48,6026.40,5873.01,6026.40,0.000
WIG-LEKI,20170309,6059.02,6087.45,5913.28,5950.15,0.000
WIG-LEKI,20170310,5925.44,6089.96,5925.44,6089.96,0.000
WIG-LEKI,20170313,6120.47,6225.01,6098.23,6176.41,0.000
WIG-LEKI,20170314,6227.17,6271.83,6182.27,6239.71,0.000
WIG-LEKI,20170315,6229.66,6284.62,6131.59,6142.30,0.000
WIG-LEKI,20170316,6174.85,6263.39,6172.95,6263.39,0.000
WIG-LEKI,20170317,6240.13,6302.11,6192.77,6242.91,0.000
WIG-LEKI,20170320,6214.34,6330.62,6204.02,6298.07,0.000
WIG-LEKI,20170321,6305.00,6389.88,6284.77,6302.14,0.000
WIG-LEKI,20170322,6266.17,6266.17,6166.44,6224.98,0.000
WIG-LEKI,20170323,6224.05,6396.20,6200.37,6371.02,0.000
WIG-LEKI,20170324,6407.16,6441.49,6340.44,6403.62,0.000
WIG-LEKI,20170327,6330.35,6340.88,6257.30,6322.47,0.000
WIG-LEKI,20170328,6461.51,6704.40,6436.24,6622.39,0.000
WIG-LEKI,20170329,6720.91,6835.30,6709.15,6757.19,5232.133
WIG-LEKI,20170330,6746.20,6820.92,6611.60,6617.43,10550.097
WIG-LEKI,20170331,6529.75,6649.24,6418.32,6616.42,4938.500
WIG-LEKI,20170403,6723.88,6771.06,6642.53,6653.94,2963.208
WIG-LEKI,20170404,6696.35,6728.34,6627.09,6695.23,2552.823
WIG-LEKI,20170405,6731.85,6731.85,6607.99,6702.26,2206.365
WIG-LEKI,20170406,6617.66,6625.99,6524.57,6600.49,1680.285
WIG-LEKI,20170407,6612.22,6632.40,6561.77,6626.18,1478.040
WIG-LEKI,20170410,6620.44,6644.21,6547.80,6644.21,954.836
WIG-LEKI,20170411,6637.01,6641.78,6502.70,6507.84,2455.865
WIG-LEKI,20170412,6471.02,6500.42,6435.88,6474.41,2318.439
WIG-LEKI,20170413,6425.11,6458.50,6342.11,6368.48,5964.645
WIG-LEKI,20170418,6378.65,6445.55,6333.83,6431.71,4866.236
WIG-LEKI,20170419,6413.63,6526.02,6406.18,6499.83,4854.697
WIG-LEKI,20170420,6485.76,6540.28,6456.04,6515.10,3460.629
WIG-LEKI,20170421,6549.08,6572.17,6430.59,6443.12,2768.129
WIG-LEKI,20170424,6471.62,6502.66,6306.39,6361.16,5263.406
WIG-LEKI,20170425,6273.65,6309.97,6123.40,6185.67,6189.156
WIG-LEKI,20170426,6058.25,6079.00,5730.42,5926.68,16189.708
WIG-LEKI,20170427,5912.76,6024.79,5827.73,6022.34,4566.003
WIG-LEKI,20170428,6036.70,6126.48,5983.85,6003.52,3300.026
WIG-LEKI,20170502,6036.29,6080.47,5966.74,6055.77,2458.130
WIG-LEKI,20170504,6044.28,6066.03,5928.27,5941.04,4086.577
WIG-LEKI,20170505,5945.02,5990.20,5843.47,5990.20,2479.393
WIG-LEKI,20170508,6007.08,6024.55,5892.24,5949.33,4761.441
WIG-LEKI,20170509,5944.49,5964.31,5820.48,5827.28,2869.077
WIG-LEKI,20170510,5822.72,5832.72,5744.48,5772.45,2510.469
WIG-LEKI,20170511,5755.84,5766.89,5660.18,5722.28,5486.939
WIG-LEKI,20170512,5710.17,5743.91,5635.52,5720.17,3996.937
WIG-LEKI,20170515,5735.72,5992.49,5724.06,5943.67,4498.432
WIG-LEKI,20170516,5962.94,6062.24,5875.76,5903.11,5441.289
WIG-LEKI,20170517,5895.80,5897.90,5727.39,5746.30,1919.460
WIG-LEKI,20170518,5736.71,5742.71,5617.35,5713.70,2164.843
WIG-LEKI,20170519,5711.04,5959.68,5707.58,5959.68,2327.655
WIG-LEKI,20170522,6027.82,6048.10,5913.78,5942.54,4457.478
WIG-LEKI,20170523,5923.41,5967.43,5856.87,5944.23,3756.991
WIG-LEKI,20170524,5903.84,5993.14,5826.13,5943.49,4529.125
WIG-LEKI,20170525,6018.73,6018.73,5894.29,5957.19,3122.964
WIG-LEKI,20170526,5932.57,6012.04,5921.99,6012.04,1590.969
WIG-LEKI,20170529,5944.86,6017.33,5944.86,5992.32,6105.602
WIG-LEKI,20170530,5954.67,5955.51,5884.22,5921.75,1505.462
WIG-LEKI,20170531,5869.24,5893.44,5746.00,5780.35,4241.213
WIG-LEKI,20170601,5784.99,5886.96,5775.27,5862.73,2413.564
WIG-LEKI,20170602,5877.72,6037.64,5870.01,5974.14,4115.937
WIG-LEKI,20170605,6049.97,6102.22,6008.76,6084.41,9038.218
WIG-LEKI,20170606,6092.42,6166.87,6051.58,6166.73,11431.705
