Name,Date,Open,High,Low,Close,Volume
WIG-MOTO,20170102,5185.17,5212.35,5080.07,5086.31,0.000
WIG-MOTO,20170103,5138.74,5179.33,5111.73,5163.93,0.000
WIG-MOTO,20170104,5199.95,5200.07,5145.48,5145.48,0.000
WIG-MOTO,20170105,5173.05,5191.26,5108.65,5123.21,0.000
WIG-MOTO,20170109,5134.00,5157.36,5099.74,5105.94,0.000
WIG-MOTO,20170110,5124.32,5170.44,5108.75,5140.61,0.000
WIG-MOTO,20170111,5157.02,5243.04,5156.39,5210.55,0.000
WIG-MOTO,20170112,5221.88,5242.61,5151.19,5169.83,0.000
WIG-MOTO,20170113,5172.91,5213.00,5155.51,5208.25,0.000
WIG-MOTO,20170116,5190.98,5246.39,5190.98,5234.71,0.000
WIG-MOTO,20170117,5247.81,5308.71,5223.24,5307.96,0.000
WIG-MOTO,20170118,5308.06,5340.73,5275.57,5314.37,0.000
WIG-MOTO,20170119,5318.59,5326.58,5286.74,5310.81,0.000
WIG-MOTO,20170120,5313.90,5432.25,5313.90,5432.25,0.000
WIG-MOTO,20170123,5431.73,5455.44,5376.79,5425.41,0.000
WIG-MOTO,20170124,5423.46,5483.53,5392.52,5455.47,0.000
WIG-MOTO,20170125,5485.49,5605.12,5485.49,5569.32,0.000
WIG-MOTO,20170126,5596.28,5597.40,5513.45,5537.00,0.000
WIG-MOTO,20170127,5578.59,5578.59,5492.53,5557.85,0.000
WIG-MOTO,20170130,5555.33,5566.18,5526.90,5552.54,0.000
WIG-MOTO,20170131,5551.52,5569.32,5521.80,5555.74,0.000
WIG-MOTO,20170201,5558.57,5576.46,5529.47,5538.05,0.000
WIG-MOTO,20170202,5551.36,5558.66,5416.37,5433.72,0.000
WIG-MOTO,20170203,5424.40,5424.57,5322.74,5366.56,0.000
WIG-MOTO,20170206,5376.35,5417.77,5352.25,5373.26,0.000
WIG-MOTO,20170207,5349.46,5351.91,5306.66,5310.89,0.000
WIG-MOTO,20170208,5364.74,5364.74,5332.73,5348.16,0.000
WIG-MOTO,20170209,5385.65,5511.31,5372.83,5509.27,0.000
WIG-MOTO,20170210,5544.34,5565.69,5511.50,5548.26,0.000
WIG-MOTO,20170213,5542.59,5547.09,5476.15,5486.08,0.000
WIG-MOTO,20170214,5487.97,5548.53,5487.48,5548.53,0.000
WIG-MOTO,20170215,5541.68,5546.10,5501.89,5527.19,0.000
WIG-MOTO,20170216,5544.22,5600.85,5544.22,5594.99,0.000
WIG-MOTO,20170217,5609.03,5621.76,5555.99,5555.99,0.000
WIG-MOTO,20170220,5587.04,5598.03,5558.72,5572.76,0.000
WIG-MOTO,20170221,5592.39,5648.18,5592.34,5642.83,0.000
WIG-MOTO,20170222,5658.93,5682.68,5632.39,5665.74,0.000
WIG-MOTO,20170223,5680.68,5699.76,5639.35,5654.53,0.000
WIG-MOTO,20170224,5674.32,5687.05,5592.92,5649.54,0.000
WIG-MOTO,20170227,5669.60,5689.38,5608.83,5689.38,0.000
WIG-MOTO,20170228,5695.06,5714.08,5652.41,5677.46,0.000
WIG-MOTO,20170301,5635.21,5793.24,5635.21,5770.22,0.000
WIG-MOTO,20170302,5758.71,5799.96,5734.34,5741.62,0.000
WIG-MOTO,20170303,5727.71,5748.49,5708.88,5721.41,0.000
WIG-MOTO,20170306,5749.68,5755.86,5697.21,5737.35,0.000
WIG-MOTO,20170307,5754.98,5755.12,5641.69,5695.87,0.000
WIG-MOTO,20170308,5713.50,5720.32,5584.02,5584.02,0.000
WIG-MOTO,20170309,5585.56,5653.56,5494.57,5497.61,0.000
WIG-MOTO,20170310,5588.08,5588.72,5494.74,5494.74,0.000
WIG-MOTO,20170313,5517.26,5610.01,5508.84,5540.07,0.000
WIG-MOTO,20170314,5594.99,5611.68,5535.02,5554.09,0.000
WIG-MOTO,20170315,5572.33,5714.62,5571.42,5644.52,0.000
WIG-MOTO,20170316,5710.97,5801.77,5706.23,5781.03,0.000
WIG-MOTO,20170317,5779.75,5795.80,5656.24,5692.45,0.000
WIG-MOTO,20170320,5729.12,5738.52,5578.60,5653.18,0.000
WIG-MOTO,20170321,5622.06,5622.06,5492.73,5492.73,0.000
WIG-MOTO,20170322,5471.86,5497.43,5404.95,5472.67,0.000
WIG-MOTO,20170323,5437.58,5494.70,5426.35,5451.41,0.000
WIG-MOTO,20170324,5462.97,5466.33,5387.64,5431.40,0.000
WIG-MOTO,20170327,5387.00,5418.40,5383.01,5388.51,0.000
WIG-MOTO,20170328,5390.63,5442.10,5390.63,5404.68,0.000
WIG-MOTO,20170329,5437.28,5478.16,5415.21,5428.50,4055.075
WIG-MOTO,20170330,5424.84,5427.43,5386.04,5414.30,6826.539
WIG-MOTO,20170331,5459.92,5466.74,5401.89,5457.59,4278.028
WIG-MOTO,20170403,5452.59,5470.42,5433.94,5458.49,2264.906
WIG-MOTO,20170404,5453.67,5508.30,5453.60,5461.53,2518.136
WIG-MOTO,20170405,5485.65,5485.65,5462.62,5463.59,1985.757
WIG-MOTO,20170406,5444.14,5457.27,5426.71,5441.91,17172.904
WIG-MOTO,20170407,5455.39,5507.64,5435.45,5504.13,4061.441
WIG-MOTO,20170410,5486.38,5532.54,5441.48,5447.42,2184.458
WIG-MOTO,20170411,5472.10,5481.43,5380.55,5386.18,2277.142
WIG-MOTO,20170412,5420.05,5420.05,5384.48,5404.46,2570.267
WIG-MOTO,20170413,5401.19,5465.53,5395.60,5395.60,904.577
WIG-MOTO,20170418,5476.77,5478.64,5383.00,5416.87,5799.026
WIG-MOTO,20170419,5449.05,5480.45,5427.88,5471.55,21682.399
WIG-MOTO,20170420,5467.03,5484.30,5447.77,5484.30,3350.760
WIG-MOTO,20170421,5486.68,5489.80,5423.71,5445.87,4045.638
WIG-MOTO,20170424,5477.65,5531.51,5448.29,5531.51,11749.578
WIG-MOTO,20170425,5551.44,5551.44,5486.24,5502.20,4686.604
WIG-MOTO,20170426,5518.15,5561.22,5502.89,5557.10,21573.216
WIG-MOTO,20170427,5539.02,5558.51,5472.58,5550.55,5500.664
WIG-MOTO,20170428,5603.02,5603.02,5484.97,5549.33,7630.748
WIG-MOTO,20170502,5584.06,5635.57,5563.99,5619.53,3187.914
WIG-MOTO,20170504,5632.14,5633.90,5544.06,5586.35,27821.506
WIG-MOTO,20170505,5554.92,5621.84,5543.27,5621.84,7031.464
