Name,Date,Open,High,Low,Close,Volume
WIG-NRCHOM,20170102,1834.65,1848.06,1832.52,1838.32,0.000
WIG-NRCHOM,20170103,1849.20,1859.51,1844.21,1856.99,0.000
WIG-NRCHOM,20170104,1865.92,1872.78,1856.89,1859.33,0.000
WIG-NRCHOM,20170105,1869.06,1874.09,1863.13,1865.20,0.000
WIG-NRCHOM,20170109,1871.50,1872.62,1861.42,1863.81,0.000
WIG-NRCHOM,20170110,1870.04,1870.39,1861.97,1870.39,0.000
WIG-NRCHOM,20170111,1872.35,1872.35,1857.20,1859.76,0.000
WIG-NRCHOM,20170112,1859.49,1866.52,1842.22,1850.31,0.000
WIG-NRCHOM,20170113,1846.64,1855.06,1826.87,1846.18,0.000
WIG-NRCHOM,20170116,1843.66,1847.02,1839.53,1844.98,0.000
WIG-NRCHOM,20170117,1852.99,1868.46,1849.58,1864.61,0.000
WIG-NRCHOM,20170118,1862.89,1867.59,1856.75,1867.59,0.000
WIG-NRCHOM,20170119,1868.14,1873.73,1861.77,1873.73,0.000
WIG-NRCHOM,20170120,1872.92,1883.26,1868.50,1881.78,0.000
WIG-NRCHOM,20170123,1882.64,1914.97,1879.94,1892.86,0.000
WIG-NRCHOM,20170124,1891.15,1914.23,1890.75,1906.58,0.000
WIG-NRCHOM,20170125,1911.58,1923.60,1910.73,1920.21,0.000
WIG-NRCHOM,20170126,1922.03,1923.08,1893.41,1894.00,0.000
WIG-NRCHOM,20170127,1896.98,1898.86,1881.76,1892.55,0.000
WIG-NRCHOM,20170130,1885.23,1909.55,1880.49,1895.12,0.000
WIG-NRCHOM,20170131,1893.71,1899.35,1884.67,1898.52,0.000
WIG-NRCHOM,20170201,1905.01,1908.97,1897.53,1900.65,0.000
WIG-NRCHOM,20170202,1901.59,1907.75,1893.38,1895.38,0.000
WIG-NRCHOM,20170203,1899.45,1905.72,1895.02,1895.94,0.000
WIG-NRCHOM,20170206,1907.43,1911.38,1891.53,1899.98,0.000
WIG-NRCHOM,20170207,1897.83,1903.94,1893.23,1893.23,0.000
WIG-NRCHOM,20170208,1894.57,1899.17,1886.52,1891.54,0.000
WIG-NRCHOM,20170209,1900.22,1921.66,1900.22,1917.31,0.000
WIG-NRCHOM,20170210,1921.49,1925.59,1914.81,1922.32,0.000
WIG-NRCHOM,20170213,1927.60,1936.57,1922.99,1929.63,0.000
WIG-NRCHOM,20170214,1927.94,1936.09,1920.52,1936.09,0.000
WIG-NRCHOM,20170215,1937.10,1944.89,1936.83,1940.59,0.000
WIG-NRCHOM,20170216,1945.13,1954.21,1941.16,1942.08,0.000
WIG-NRCHOM,20170217,1943.71,1953.17,1922.56,1922.66,0.000
WIG-NRCHOM,20170220,1920.37,1933.54,1920.37,1927.49,0.000
WIG-NRCHOM,20170221,1928.32,1932.16,1917.68,1932.16,0.000
WIG-NRCHOM,20170222,1932.99,1936.13,1925.67,1931.01,0.000
WIG-NRCHOM,20170223,1934.67,1934.67,1919.84,1922.32,0.000
WIG-NRCHOM,20170224,1927.40,1927.82,1917.65,1919.51,0.000
WIG-NRCHOM,20170227,1926.30,1935.26,1921.25,1930.24,0.000
WIG-NRCHOM,20170228,1945.72,1948.42,1912.56,1920.81,0.000
WIG-NRCHOM,20170301,1929.68,1943.08,1929.10,1934.46,0.000
WIG-NRCHOM,20170302,1939.57,1946.68,1933.02,1939.14,0.000
WIG-NRCHOM,20170303,1938.99,1938.99,1921.25,1927.78,0.000
WIG-NRCHOM,20170306,1928.59,1934.80,1923.26,1925.45,0.000
WIG-NRCHOM,20170307,1931.67,1933.62,1916.45,1932.27,0.000
WIG-NRCHOM,20170308,1931.09,1933.47,1913.96,1920.53,0.000
WIG-NRCHOM,20170309,1916.16,1923.36,1907.74,1913.01,0.000
WIG-NRCHOM,20170310,1930.11,1938.42,1925.88,1935.92,0.000
WIG-NRCHOM,20170313,1950.81,1951.84,1934.77,1940.03,0.000
WIG-NRCHOM,20170314,1943.65,1965.89,1942.50,1965.69,0.000
WIG-NRCHOM,20170315,1974.23,1981.97,1969.06,1969.06,0.000
WIG-NRCHOM,20170316,1980.50,1983.86,1959.13,1962.65,0.000
WIG-NRCHOM,20170317,1966.29,1972.35,1948.98,1948.98,0.000
WIG-NRCHOM,20170320,1975.50,1979.71,1953.19,1959.51,0.000
WIG-NRCHOM,20170321,1963.02,1963.02,1931.71,1943.37,0.000
WIG-NRCHOM,20170322,1928.15,1930.82,1908.37,1918.95,0.000
WIG-NRCHOM,20170323,1919.26,1934.18,1919.26,1928.44,0.000
WIG-NRCHOM,20170324,1927.88,1944.17,1927.88,1939.49,0.000
WIG-NRCHOM,20170327,1932.24,1937.27,1925.44,1931.40,0.000
WIG-NRCHOM,20170328,1934.96,1949.98,1934.10,1943.34,0.000
WIG-NRCHOM,20170329,1948.03,1960.11,1943.12,1951.72,14696.217
WIG-NRCHOM,20170330,1955.80,1955.80,1939.74,1944.43,5990.384
WIG-NRCHOM,20170331,1947.56,1949.86,1928.84,1933.40,5349.805
WIG-NRCHOM,20170403,1934.20,1942.86,1929.77,1939.25,3547.967
WIG-NRCHOM,20170404,1939.76,1945.90,1933.05,1933.05,7367.568
WIG-NRCHOM,20170405,1940.53,1974.14,1939.45,1974.14,8325.546
WIG-NRCHOM,20170406,1970.19,1988.11,1965.33,1988.11,7190.714
