Name,Date,Open,High,Low,Close,Volume
WIG-ODZIEZ,20170102,5140.34,5298.33,5140.34,5174.68,0.000
WIG-ODZIEZ,20170103,5182.48,5261.87,5086.16,5167.92,0.000
WIG-ODZIEZ,20170104,5206.33,5213.91,5107.12,5122.17,0.000
WIG-ODZIEZ,20170105,5112.18,5118.42,5019.62,5045.15,0.000
WIG-ODZIEZ,20170109,5084.04,5109.78,4996.84,5109.78,0.000
WIG-ODZIEZ,20170110,5140.97,5201.09,5118.49,5189.12,0.000
WIG-ODZIEZ,20170111,5194.20,5194.87,5140.53,5180.91,0.000
WIG-ODZIEZ,20170112,5158.35,5198.51,5105.16,5112.40,0.000
WIG-ODZIEZ,20170113,5105.74,5158.54,5085.74,5158.54,0.000
WIG-ODZIEZ,20170116,5128.40,5164.98,5116.99,5139.15,0.000
WIG-ODZIEZ,20170117,5150.38,5162.21,5083.50,5121.79,0.000
WIG-ODZIEZ,20170118,5169.96,5181.28,5098.79,5124.87,0.000
WIG-ODZIEZ,20170119,5128.04,5157.53,5108.73,5157.53,0.000
WIG-ODZIEZ,20170120,5151.52,5218.99,5112.34,5134.24,0.000
WIG-ODZIEZ,20170123,5118.68,5144.25,5053.95,5053.95,0.000
WIG-ODZIEZ,20170124,5035.97,5056.54,4953.63,5004.35,0.000
WIG-ODZIEZ,20170125,5050.00,5156.28,5033.31,5104.58,0.000
WIG-ODZIEZ,20170126,5120.69,5151.18,5036.42,5059.84,0.000
WIG-ODZIEZ,20170127,5042.82,5090.15,5018.82,5018.82,0.000
WIG-ODZIEZ,20170130,5019.34,5091.54,4988.28,4998.35,0.000
WIG-ODZIEZ,20170131,5033.38,5033.38,4920.41,4931.00,0.000
WIG-ODZIEZ,20170201,4942.77,4986.00,4868.26,4898.72,0.000
WIG-ODZIEZ,20170202,4902.43,4977.95,4865.57,4964.13,0.000
WIG-ODZIEZ,20170203,4962.53,5023.62,4949.13,5011.55,0.000
WIG-ODZIEZ,20170206,4982.94,5014.24,4931.88,4972.64,0.000
WIG-ODZIEZ,20170207,4964.83,5026.78,4935.81,5013.79,0.000
WIG-ODZIEZ,20170208,4997.65,5076.26,4957.72,5076.26,0.000
WIG-ODZIEZ,20170209,5065.92,5088.63,5014.58,5058.78,0.000
WIG-ODZIEZ,20170210,5052.53,5063.43,4982.89,5027.26,0.000
WIG-ODZIEZ,20170213,5033.68,5111.47,5002.89,5111.47,0.000
WIG-ODZIEZ,20170214,5106.49,5179.45,5079.27,5134.62,0.000
WIG-ODZIEZ,20170215,5153.22,5197.15,5135.06,5173.37,0.000
WIG-ODZIEZ,20170216,5207.25,5219.15,5129.24,5185.51,0.000
WIG-ODZIEZ,20170217,5180.35,5191.25,5108.83,5133.05,0.000
WIG-ODZIEZ,20170220,5147.78,5152.43,5113.93,5127.80,0.000
WIG-ODZIEZ,20170221,5134.33,5190.59,5110.06,5186.79,0.000
WIG-ODZIEZ,20170222,5164.34,5226.89,5149.95,5226.89,0.000
WIG-ODZIEZ,20170223,5229.29,5402.69,5169.06,5392.62,0.000
WIG-ODZIEZ,20170224,5376.34,5387.62,5279.56,5385.10,0.000
WIG-ODZIEZ,20170227,5389.54,5432.92,5284.59,5430.20,0.000
WIG-ODZIEZ,20170228,5416.81,5431.93,5289.00,5372.66,0.000
WIG-ODZIEZ,20170301,5377.37,5519.59,5365.06,5519.59,0.000
